fecha,semana_registro,turno,linea,sku,n_inspeccionadas,n_defectuosas,causa_principal
2026-07-20,1,A (06-14),L1,FUN-B05,238,1,Envase deformado
2026-07-20,1,B (14-22),L1,CIT-L05,182,3,Etiqueta
2026-07-21,1,A (06-14),L1,NEC-D05,190,4,Envase deformado
2026-07-21,1,B (14-22),L1,CIT-L05,194,3,Nivel de llenado
2026-07-22,1,A (06-14),L1,CIT-L05,190,8,Etiqueta
2026-07-22,1,B (14-22),L1,NEC-D05,184,4,Nivel de llenado
2026-07-20,1,A (06-14),L2,CIT-L30,260,11,Etiqueta
2026-07-20,1,B (14-22),L2,CIT-L30,235,8,Cuerpo extranio
2026-07-20,1,C (22-06),L2,NEC-D15,215,2,Sello/tapa
2026-07-21,1,A (06-14),L2,FUN-B15,245,4,Sello/tapa
2026-07-21,1,B (14-22),L2,CIT-L30,202,7,Envase deformado
2026-07-21,1,C (22-06),L2,NEC-D15,242,6,Etiqueta
2026-07-22,1,A (06-14),L2,FUN-B30,213,8,Nivel de llenado
2026-07-22,1,B (14-22),L2,FUN-B30,249,13,Sello/tapa
2026-07-22,1,C (22-06),L2,FUN-B30,212,6,Sello/tapa
2026-07-23,1,A (06-14),L2,CIT-L15,221,4,Envase deformado
2026-07-23,1,B (14-22),L2,NEC-D30,216,6,Nivel de llenado
2026-07-23,1,C (22-06),L2,NEC-D30,191,4,Envase deformado
2026-07-24,1,A (06-14),L2,CIT-L15,258,4,Nivel de llenado
2026-07-24,1,B (14-22),L2,NEC-D30,226,5,Etiqueta
2026-07-24,1,C (22-06),L2,NEC-D30,252,8,Sello/tapa
2026-07-27,2,A (06-14),L1,NEC-D05,242,4,Nivel de llenado
2026-07-27,2,B (14-22),L1,CIT-L05,223,6,Sello/tapa
2026-07-28,2,A (06-14),L1,FUN-B05,191,3,Etiqueta
2026-07-28,2,B (14-22),L1,FUN-B05,241,4,Nivel de llenado
2026-07-29,2,A (06-14),L1,FUN-B05,186,7,Etiqueta
2026-07-29,2,B (14-22),L1,CIT-L05,210,4,Nivel de llenado
