subgrupo,fecha,semana_registro,turno,linea,sku,formato_L,hora,n_obs,volumen_mL
1,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,06:00,1,500.86
1,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,06:00,2,502.11
1,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,06:00,3,503.12
1,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,06:00,4,502.6
1,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,06:00,5,499.11
2,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,08:00,1,500.4
2,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,08:00,2,503.54
2,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,08:00,3,502.93
2,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,08:00,4,503.52
2,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,08:00,5,498.37
3,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,10:00,1,505.76
3,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,10:00,2,501.84
3,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,10:00,3,501.63
3,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,10:00,4,504.39
3,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,10:00,5,504.53
4,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,12:00,1,502.03
4,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,12:00,2,503.33
4,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,12:00,3,503.22
4,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,12:00,4,504.13
4,2026-07-20,1,A (06-14),L1,FUN-B05,0.5,12:00,5,503.15
5,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,14:00,1,499.4
5,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,14:00,2,504.62
5,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,14:00,3,504.26
5,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,14:00,4,500.81
5,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,14:00,5,507.89
6,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,16:00,1,502.28
6,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,16:00,2,501.82
6,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,16:00,3,505.21
6,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,16:00,4,502.68
6,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,16:00,5,504.09
7,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,18:00,1,502.25
7,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,18:00,2,501.94
7,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,18:00,3,504.95
7,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,18:00,4,505.39
7,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,18:00,5,502.47
8,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,20:00,1,501.06
8,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,20:00,2,501.63
8,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,20:00,3,500.91
8,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,20:00,4,501.48
8,2026-07-20,1,B (14-22),L1,CIT-L05,0.5,20:00,5,503.5
9,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,06:00,1,503.39
9,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,06:00,2,502.43
9,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,06:00,3,498.97
9,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,06:00,4,503.05
9,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,06:00,5,500.27
10,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,08:00,1,501.68
10,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,08:00,2,500.92
10,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,08:00,3,504.56
10,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,08:00,4,502.46
10,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,08:00,5,504.33
11,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,10:00,1,502.5
11,2026-07-21,1,A (06-14),L1,NEC-D05,0.5,10:00,2,503.63
