t,fecha_lunes,horas_mezcla_regular,horas_mezcla_extra_max,tasa_mezcla_L_h,cip_mezcla_horas,horas_L1_regular,horas_L1_extra_max,horas_L2_regular,horas_L2_extra_max,costo_hora_extra_L2_clp,costo_hora_extra_mezcla_clp,mantencion_programada_h_L2,mantencion_programada_h_mezcla
1,2026-09-28,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
2,2026-10-05,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
3,2026-10-12,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
4,2026-10-19,55.0,10,2300,1.2,40.0,8,40.0,16,168000,121000,8.0,0.0
5,2026-10-26,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
6,2026-11-02,49.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,6.0
7,2026-11-09,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
8,2026-11-16,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
9,2026-11-23,55.0,10,2300,1.2,40.0,8,40.0,16,168000,121000,8.0,0.0
10,2026-11-30,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
11,2026-12-07,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
12,2026-12-14,55.0,10,2300,1.2,40.0,8,48.0,16,168000,121000,0.0,0.0
13,2026-12-21,47.0,10,2300,1.2,36.0,8,40.0,16,168000,121000,0.0,0.0
