orden,sku,familia,linea_envasado,cliente,cantidad_comprometida_cajas,dia_comprometido,hora_comprometida,peso_prioridad,multa_atraso_clp_h
OP-001,NEC-D05,NEC,L1,Mayorista Sur,389,2,14:00,1,26000
OP-002,NEC-D05,NEC,L1,CD Santiago,509,5,18:00,3,78000
OP-003,NEC-D15,NEC,L2,Cadena Retail B,584,5,18:00,4,104000
OP-004,NEC-D15,NEC,L2,Cadena Retail A,736,3,18:00,5,130000
OP-005,NEC-D30,NEC,L2,CD Santiago,313,3,18:00,3,78000
OP-006,CIT-L05,CIT,L1,CD Santiago,347,4,18:00,3,78000
OP-007,CIT-L05,CIT,L1,Cadena Retail B,492,4,18:00,4,104000
OP-008,CIT-L15,CIT,L2,Mayorista Sur,472,3,18:00,1,26000
OP-009,CIT-L15,CIT,L2,Mayorista Sur,554,3,14:00,1,26000
OP-010,CIT-L30,CIT,L2,Cadena Retail B,157,4,10:00,4,104000
OP-011,FUN-B05,FUN,L1,CD Santiago,776,5,18:00,3,78000
OP-012,FUN-B05,FUN,L1,Cadena Retail A,564,2,10:00,5,130000
OP-013,FUN-B15,FUN,L2,Cadena Retail A,401,3,18:00,5,130000
OP-014,FUN-B15,FUN,L2,CD Santiago,459,2,14:00,3,78000
OP-015,FUN-B30,FUN,L2,CD Concepcion,66,4,18:00,2,52000
