semana,fecha_lunes,anio_iso,semana_iso,sku,ventas_cajas,dias_sin_stock,promocion,precio_lista_clp,precio_efectivo_clp
1,2023-10-02,2023,40,NEC-D05,1209.0,0.0,0,6620,6620
2,2023-10-09,2023,41,NEC-D05,1095.0,0.0,0,6620,6620
3,2023-10-16,2023,42,NEC-D05,1345.0,0.0,0,6620,6620
4,2023-10-23,2023,43,NEC-D05,1888.0,0.0,1,6620,4819
5,2023-10-30,2023,44,NEC-D05,991.0,0.0,0,6620,6620
6,2023-11-06,2023,45,NEC-D05,1138.0,0.0,0,6620,6620
7,2023-11-13,2023,46,NEC-D05,1207.0,0.0,0,6620,6620
8,2023-11-20,2023,47,NEC-D05,1189.0,0.0,0,6620,6620
9,2023-11-27,2023,48,NEC-D05,924.0,0.0,0,6620,6620
10,2023-12-04,2023,49,NEC-D05,901.0,0.0,0,6620,6620
11,2023-12-11,2023,50,NEC-D05,1339.0,0.0,0,6620,6620
12,2023-12-18,2023,51,NEC-D05,1057.0,0.0,0,6620,6620
13,2023-12-25,2023,52,NEC-D05,1327.0,0.0,0,6620,6620
14,2024-01-01,2024,1,NEC-D05,1213.0,0.0,0,6620,6620
15,2024-01-08,2024,2,NEC-D05,1228.0,0.0,0,6620,6620
16,2024-01-15,2024,3,NEC-D05,1648.0,0.0,1,6620,5062
17,2024-01-22,2024,4,NEC-D05,1001.0,0.0,0,6620,6620
18,2024-01-29,2024,5,NEC-D05,1335.0,0.0,0,6620,6620
19,2024-02-05,2024,6,NEC-D05,1694.0,0.0,0,6620,6620
20,2024-02-12,2024,7,NEC-D05,1639.0,0.0,0,6620,6620
21,2024-02-19,2024,8,NEC-D05,1734.0,0.0,0,6620,6620
22,2024-02-26,2024,9,NEC-D05,1322.0,0.0,0,6620,6620
23,2024-03-04,2024,10,NEC-D05,1359.0,0.0,0,6620,6620
24,2024-03-11,2024,11,NEC-D05,1720.0,0.0,0,6620,6620
25,2024-03-18,2024,12,NEC-D05,2069.0,0.0,0,6620,6620
26,2024-03-25,2024,13,NEC-D05,1391.0,0.0,0,6620,6620
27,2024-04-01,2024,14,NEC-D05,1610.0,0.0,0,6620,6620
28,2024-04-08,2024,15,NEC-D05,1894.0,0.0,1,6620,5247
29,2024-04-15,2024,16,NEC-D05,1428.0,0.0,0,6620,6620
30,2024-04-22,2024,17,NEC-D05,1834.0,0.0,0,6620,6620
