pieza,operador,repeticion,medicion_g
1,A,1,483.97
1,A,2,485.36
1,B,1,486.19
1,B,2,484.98
1,C,1,483.08
1,C,2,482.87
2,A,1,491.19
2,A,2,488.68
2,B,1,491.93
2,B,2,491.37
2,C,1,490.35
2,C,2,489.7
3,A,1,479.48
3,A,2,480.79
3,B,1,480.73
3,B,2,479.83
3,C,1,479.6
3,C,2,479.34
4,A,1,481.46
4,A,2,480.98
4,B,1,480.62
4,B,2,481.49
4,C,1,481.45
4,C,2,481.02
5,A,1,479.92
5,A,2,480.89
5,B,1,481.31
5,B,2,481.81
5,C,1,481.36
5,C,2,481.63
6,A,1,486.65
6,A,2,484.81
6,B,1,487.0
6,B,2,486.84
6,C,1,485.85
6,C,2,484.09
7,A,1,483.47
7,A,2,482.31
7,B,1,483.41
7,B,2,483.97
7,C,1,481.23
7,C,2,481.87
8,A,1,484.14
8,A,2,483.51
8,B,1,485.03
8,B,2,484.01
8,C,1,482.41
8,C,2,482.36
9,A,1,481.97
9,A,2,483.82
9,B,1,483.17
9,B,2,482.57
9,C,1,481.49
9,C,2,479.86
10,A,1,485.14
10,A,2,485.71
10,B,1,489.39
10,B,2,487.17
10,C,1,484.17
10,C,2,483.59
