subgrupo,fase,turno,n_obs,peso_g
1,I,A (06-14),1,475.15
1,I,A (06-14),2,478.34
1,I,A (06-14),3,488.49
1,I,A (06-14),4,491.77
2,I,B (14-22),1,489.36
2,I,B (14-22),2,489.62
2,I,B (14-22),3,486.1
2,I,B (14-22),4,483.28
3,I,A (06-14),1,485.41
3,I,A (06-14),2,489.7
3,I,A (06-14),3,483.56
3,I,A (06-14),4,484.79
4,I,B (14-22),1,492.84
4,I,B (14-22),2,482.31
4,I,B (14-22),3,481.28
4,I,B (14-22),4,480.88
5,I,A (06-14),1,486.39
5,I,A (06-14),2,484.24
5,I,A (06-14),3,482.32
5,I,A (06-14),4,482.14
6,I,B (14-22),1,484.95
6,I,B (14-22),2,484.5
6,I,B (14-22),3,484.11
6,I,B (14-22),4,486.5
7,I,A (06-14),1,480.96
7,I,A (06-14),2,481.8
7,I,A (06-14),3,482.6
7,I,A (06-14),4,478.96
8,I,B (14-22),1,487.01
8,I,B (14-22),2,494.34
8,I,B (14-22),3,485.73
8,I,B (14-22),4,488.84
9,I,A (06-14),1,482.89
9,I,A (06-14),2,490.82
9,I,A (06-14),3,485.76
9,I,A (06-14),4,489.63
10,I,B (14-22),1,482.75
10,I,B (14-22),2,485.07
10,I,B (14-22),3,486.12
10,I,B (14-22),4,492.4
11,I,A (06-14),1,487.39
11,I,A (06-14),2,481.32
11,I,A (06-14),3,490.56
11,I,A (06-14),4,479.12
12,I,B (14-22),1,486.05
12,I,B (14-22),2,484.05
12,I,B (14-22),3,488.59
12,I,B (14-22),4,488.19
13,I,A (06-14),1,485.08
13,I,A (06-14),2,495.43
13,I,A (06-14),3,487.36
13,I,A (06-14),4,488.31
14,I,B (14-22),1,488.84
14,I,B (14-22),2,482.75
14,I,B (14-22),3,487.84
14,I,B (14-22),4,492.76
15,I,A (06-14),1,476.8
15,I,A (06-14),2,493.8
15,I,A (06-14),3,482.93
15,I,A (06-14),4,480.57
16,I,B (14-22),1,484.87
16,I,B (14-22),2,482.65
16,I,B (14-22),3,484.76
16,I,B (14-22),4,488.29
17,I,A (06-14),1,485.61
17,I,A (06-14),2,486.1
17,I,A (06-14),3,485.23
17,I,A (06-14),4,490.92
18,I,B (14-22),1,485.53
18,I,B (14-22),2,486.82
18,I,B (14-22),3,486.4
18,I,B (14-22),4,484.49
19,I,A (06-14),1,483.62
19,I,A (06-14),2,483.56
19,I,A (06-14),3,484.64
19,I,A (06-14),4,485.76
20,I,B (14-22),1,485.96
20,I,B (14-22),2,489.08
20,I,B (14-22),3,489.75
20,I,B (14-22),4,488.03
21,II,A (06-14),1,487.31
21,II,A (06-14),2,485.16
21,II,A (06-14),3,492.84
21,II,A (06-14),4,484.12
22,II,B (14-22),1,481.8
22,II,B (14-22),2,484.01
22,II,B (14-22),3,485.1
22,II,B (14-22),4,478.45
23,II,A (06-14),1,485.82
23,II,A (06-14),2,486.82
23,II,A (06-14),3,491.1
23,II,A (06-14),4,481.64
24,II,B (14-22),1,482.93
24,II,B (14-22),2,484.55
24,II,B (14-22),3,484.62
24,II,B (14-22),4,482.68
25,II,A (06-14),1,482.35
25,II,A (06-14),2,486.77
25,II,A (06-14),3,480.84
25,II,A (06-14),4,484.86
26,II,B (14-22),1,490.93
26,II,B (14-22),2,493.54
26,II,B (14-22),3,492.5
26,II,B (14-22),4,493.35
27,II,A (06-14),1,486.92
27,II,A (06-14),2,485.14
27,II,A (06-14),3,488.12
27,II,A (06-14),4,490.99
28,II,B (14-22),1,497.17
28,II,B (14-22),2,491.75
28,II,B (14-22),3,494.92
28,II,B (14-22),4,490.76
29,II,A (06-14),1,495.55
29,II,A (06-14),2,493.64
29,II,A (06-14),3,494.53
29,II,A (06-14),4,495.32
30,II,B (14-22),1,497.06
30,II,B (14-22),2,495.87
30,II,B (14-22),3,493.59
30,II,B (14-22),4,491.53
