p,Pa_binomial,Pa_hipergeometrica
0.0,1.0,1.0
0.0025,0.9989,0.9994
0.005,0.9923,0.994
0.0075,0.9774,0.9802
0.01,0.9534,0.957
0.0125,0.9209,0.9247
0.015,0.8808,0.8845
0.0175,0.8348,0.8379
0.02,0.7844,0.7867
0.0225,0.7312,0.7325
0.025,0.6767,0.6769
0.0275,0.622,0.621
0.03,0.5681,0.5661
0.0325,0.5159,0.513
0.035,0.4661,0.4623
0.0375,0.4189,0.4144
0.04,0.3748,0.3697
0.0425,0.3339,0.3284
0.045,0.2962,0.2905
0.0475,0.2618,0.256
0.05,0.2306,0.2247
0.0525,0.2024,0.1966
0.055,0.1771,0.1715
0.0575,0.1545,0.1491
0.06,0.1344,0.1292
0.0625,0.1166,0.1117
0.065,0.1009,0.0963
0.0675,0.0871,0.0828
0.07,0.075,0.071
0.0725,0.0645,0.0608
0.075,0.0553,0.0519
0.0775,0.0473,0.0442
0.08,0.0404,0.0376
0.0825,0.0344,0.0319
0.085,0.0293,0.027
0.0875,0.0248,0.0229
0.09,0.0211,0.0193
0.0925,0.0178,0.0163
0.095,0.015,0.0137
0.0975,0.0127,0.0115
0.1,0.0107,0.0096
