t,semana,iso_anio,iso_semana,fiestas_patrias,post_fiestas,semana_santa,planta_cerrada
1,2023-03-06,2023,10,0,0,0,0
2,2023-03-13,2023,11,0,0,0,0
3,2023-03-20,2023,12,0,0,0,0
4,2023-03-27,2023,13,0,0,0,0
5,2023-04-03,2023,14,0,0,1,0
6,2023-04-10,2023,15,0,0,0,0
7,2023-04-17,2023,16,0,0,0,0
8,2023-04-24,2023,17,0,0,0,0
9,2023-05-01,2023,18,0,0,0,0
10,2023-05-08,2023,19,0,0,0,0
11,2023-05-15,2023,20,0,0,0,0
12,2023-05-22,2023,21,0,0,0,0
13,2023-05-29,2023,22,0,0,0,0
14,2023-06-05,2023,23,0,0,0,0
15,2023-06-12,2023,24,0,0,0,0
16,2023-06-19,2023,25,0,0,0,0
17,2023-06-26,2023,26,0,0,0,0
18,2023-07-03,2023,27,0,0,0,0
19,2023-07-10,2023,28,0,0,0,0
20,2023-07-17,2023,29,0,0,0,0
21,2023-07-24,2023,30,0,0,0,0
22,2023-07-31,2023,31,0,0,0,0
23,2023-08-07,2023,32,0,0,0,0
24,2023-08-14,2023,33,0,0,0,0
25,2023-08-21,2023,34,0,0,0,0
26,2023-08-28,2023,35,0,0,0,0
27,2023-09-04,2023,36,0,0,0,0
28,2023-09-11,2023,37,0,0,0,0
29,2023-09-18,2023,38,1,0,0,0
30,2023-09-25,2023,39,0,1,0,0
31,2023-10-02,2023,40,0,0,0,0
32,2023-10-09,2023,41,0,0,0,0
33,2023-10-16,2023,42,0,0,0,0
34,2023-10-23,2023,43,0,0,0,0
35,2023-10-30,2023,44,0,0,0,0
36,2023-11-06,2023,45,0,0,0,0
37,2023-11-13,2023,46,0,0,0,0
38,2023-11-20,2023,47,0,0,0,0
39,2023-11-27,2023,48,0,0,0,0
40,2023-12-04,2023,49,0,0,0,0
41,2023-12-11,2023,50,0,0,0,0
42,2023-12-18,2023,51,0,0,0,0
43,2023-12-25,2023,52,0,0,0,0
44,2024-01-01,2024,1,0,0,0,0
45,2024-01-08,2024,2,0,0,0,0
46,2024-01-15,2024,3,0,0,0,0
47,2024-01-22,2024,4,0,0,0,0
48,2024-01-29,2024,5,0,0,0,1
49,2024-02-05,2024,6,0,0,0,1
50,2024-02-12,2024,7,0,0,0,0
51,2024-02-19,2024,8,0,0,0,0
52,2024-02-26,2024,9,0,0,0,0
53,2024-03-04,2024,10,0,0,0,0
54,2024-03-11,2024,11,0,0,0,0
55,2024-03-18,2024,12,0,0,0,0
56,2024-03-25,2024,13,0,0,1,0
57,2024-04-01,2024,14,0,0,0,0
58,2024-04-08,2024,15,0,0,0,0
59,2024-04-15,2024,16,0,0,0,0
60,2024-04-22,2024,17,0,0,0,0
61,2024-04-29,2024,18,0,0,0,0
62,2024-05-06,2024,19,0,0,0,0
63,2024-05-13,2024,20,0,0,0,0
64,2024-05-20,2024,21,0,0,0,0
65,2024-05-27,2024,22,0,0,0,0
66,2024-06-03,2024,23,0,0,0,0
67,2024-06-10,2024,24,0,0,0,0
68,2024-06-17,2024,25,0,0,0,0
69,2024-06-24,2024,26,0,0,0,0
70,2024-07-01,2024,27,0,0,0,0
71,2024-07-08,2024,28,0,0,0,0
72,2024-07-15,2024,29,0,0,0,0
73,2024-07-22,2024,30,0,0,0,0
74,2024-07-29,2024,31,0,0,0,0
75,2024-08-05,2024,32,0,0,0,0
76,2024-08-12,2024,33,0,0,0,0
77,2024-08-19,2024,34,0,0,0,0
78,2024-08-26,2024,35,0,0,0,0
79,2024-09-02,2024,36,0,0,0,0
80,2024-09-09,2024,37,0,0,0,0
81,2024-09-16,2024,38,1,0,0,0
82,2024-09-23,2024,39,0,1,0,0
83,2024-09-30,2024,40,0,0,0,0
84,2024-10-07,2024,41,0,0,0,0
85,2024-10-14,2024,42,0,0,0,0
86,2024-10-21,2024,43,0,0,0,0
87,2024-10-28,2024,44,0,0,0,0
88,2024-11-04,2024,45,0,0,0,0
89,2024-11-11,2024,46,0,0,0,0
90,2024-11-18,2024,47,0,0,0,0
91,2024-11-25,2024,48,0,0,0,0
