t,sku,nivel,estacionalidad,calendario,promocion,senal_sin_ruido,pedidos_reales,censurado
1,DUR-480,1400.0,1.0362,1.0,1.0,1450.63,1456.0,0
2,DUR-480,1399.18,1.0,1.0,1.0,1399.18,1126.0,0
3,DUR-480,1398.36,0.9638,1.0,1.0,1347.79,1234.0,0
4,DUR-480,1397.54,0.9282,1.0,1.0,1297.21,1452.0,0
5,DUR-480,1396.72,0.8936,1.0,1.0,1248.14,1209.0,0
6,DUR-480,1395.91,0.8606,1.0,1.0,1201.29,1379.0,0
7,DUR-480,1395.09,0.8296,1.0,1.0,1157.34,1175.0,0
8,DUR-480,1394.27,0.8011,1.0,1.0,1116.9,1305.0,0
9,DUR-480,1393.45,0.7754,1.0,1.52,1642.44,1360.0,0
10,DUR-480,1392.64,0.7531,1.0,0.85,891.48,934.0,0
11,DUR-480,1391.82,0.7344,1.0,1.0,1022.1,1083.0,0
12,DUR-480,1391.01,0.7195,1.0,1.0,1000.82,926.0,0
13,DUR-480,1390.19,0.7087,1.0,1.0,985.25,1108.0,0
14,DUR-480,1389.38,0.7022,1.0,1.0,975.6,1222.0,0
15,DUR-480,1388.57,0.7,1.0,1.0,972.0,758.0,0
16,DUR-480,1387.75,0.7022,1.0,1.5465,1507.04,1307.0,0
17,DUR-480,1386.94,0.7087,1.0,0.85,835.51,855.0,0
18,DUR-480,1386.13,0.7195,1.0,1.0,997.31,989.0,0
19,DUR-480,1385.32,0.7344,1.0,1.0,1017.33,1012.0,0
20,DUR-480,1384.51,0.7531,1.0,1.0,1042.68,977.0,0
21,DUR-480,1383.69,0.7754,1.0,1.0,1072.98,1253.0,0
22,DUR-480,1382.88,0.8011,1.0,1.0,1107.78,905.0,0
23,DUR-480,1382.07,0.8296,1.0,1.0,1146.54,1046.0,0
24,DUR-480,1381.27,0.8606,1.0,1.0,1188.69,1194.0,0
25,DUR-480,1380.46,0.8936,1.0,1.0,1233.6,1398.0,0
26,DUR-480,1379.65,0.9282,1.0,1.0,1280.6,1495.0,0
27,DUR-480,1378.84,0.9638,1.0,1.0,1328.98,1323.0,0
28,DUR-480,1378.03,1.0,1.0,1.0,1378.03,1318.0,0
29,DUR-480,1377.23,1.0362,1.28,1.7777,3247.21,3876.0,1
30,DUR-480,1376.42,1.0718,0.92,0.85,1153.64,1097.0,0
31,DUR-480,1375.61,1.1064,1.0,1.0,1521.95,1307.0,0
32,DUR-480,1374.81,1.1394,1.0,1.0,1566.48,1863.0,0
33,DUR-480,1374.0,1.1704,1.0,1.0,1608.16,1656.0,0
34,DUR-480,1373.2,1.1989,1.0,1.0,1646.38,1644.0,0
35,DUR-480,1372.39,1.2246,1.0,1.0,1680.57,1644.0,0
36,DUR-480,1371.59,1.2469,1.0,1.0,1710.23,1771.0,0
37,DUR-480,1370.79,1.2656,1.0,1.0,1734.92,1660.0,0
38,DUR-480,1369.98,1.2805,1.0,1.0,1754.27,1873.0,0
39,DUR-480,1369.18,1.2913,1.0,1.0,1768.0,1550.0,0
40,DUR-480,1368.38,1.2978,1.0,1.0,1775.9,1866.0,0
41,DUR-480,1367.58,1.3,1.0,1.0,1777.85,1434.0,0
42,DUR-480,1366.78,1.2978,1.0,1.0,1773.82,1762.0,0
43,DUR-480,1365.98,1.2913,1.0,1.0,1763.86,1376.0,0
44,DUR-480,1365.18,1.2805,1.0,1.0,1748.12,2270.0,0
45,DUR-480,1364.38,1.2656,1.0,1.0,1726.81,1540.0,0
46,DUR-480,1363.58,1.2469,1.0,1.0,1700.24,1570.0,0
47,DUR-480,1362.78,1.2246,1.0,1.0,1668.8,1565.0,0
48,DUR-480,1361.98,1.1989,1.0,1.0,1632.93,1615.0,1
49,DUR-480,1361.19,1.1704,1.0,1.0,1593.16,2475.0,1
50,DUR-480,1360.39,1.1394,1.0,1.0,1550.05,3068.0,1
51,DUR-480,1359.59,1.1064,1.0,1.0,1504.23,1458.0,0
52,DUR-480,1358.8,1.0718,1.0,1.6409,2389.77,2121.0,0
53,DUR-480,1358.0,1.0362,1.0,0.85,1196.04,1179.0,0
54,DUR-480,1357.2,1.0,1.0,1.0,1357.2,1502.0,0
55,DUR-480,1356.41,0.9638,1.0,1.0,1307.36,976.0,0
56,DUR-480,1355.62,0.9282,1.0,1.0,1258.29,1232.0,0
57,DUR-480,1354.82,0.8936,1.0,1.0,1210.69,1178.0,0
58,DUR-480,1354.03,0.8606,1.0,1.0,1165.25,1020.0,0
59,DUR-480,1353.24,0.8296,1.0,1.0,1122.62,1079.0,0
60,DUR-480,1352.44,0.8011,1.0,1.0,1083.39,1001.0,0
61,DUR-480,1351.65,0.7754,1.0,1.0,1048.13,890.0,0
62,DUR-480,1350.86,0.7531,1.0,1.0,1017.34,865.0,0
63,DUR-480,1350.07,0.7344,1.0,1.7097,1695.02,1550.0,0
64,DUR-480,1349.28,0.7195,1.0,0.85,825.18,792.0,0
65,DUR-480,1348.49,0.7087,1.0,1.0,955.7,1048.0,0
66,DUR-480,1347.7,0.7022,1.0,1.5308,1448.66,1511.0,0
67,DUR-480,1346.91,0.7,1.0,0.85,801.41,828.0,0
68,DUR-480,1346.12,0.7022,1.0,1.0,945.23,933.0,0
69,DUR-480,1345.33,0.7087,1.0,1.0,953.46,1035.0,0
70,DUR-480,1344.54,0.7195,1.0,1.0,967.39,990.0,0
71,DUR-480,1343.76,0.7344,1.0,1.0,986.81,934.0,0
72,DUR-480,1342.97,0.7531,1.0,1.0,1011.4,962.0,0
73,DUR-480,1342.18,0.7754,1.0,1.6131,1678.94,1723.0,0
74,DUR-480,1341.4,0.8011,1.0,0.85,913.36,981.0,0
75,DUR-480,1340.61,0.8296,1.0,1.0,1112.15,1038.0,0
76,DUR-480,1339.83,0.8606,1.0,1.0,1153.03,874.0,0
77,DUR-480,1339.04,0.8936,1.0,1.0,1196.59,1328.0,0
78,DUR-480,1338.26,0.9282,1.0,1.0,1242.18,1111.0,0
79,DUR-480,1337.47,0.9638,1.0,1.0,1289.11,1365.0,0
80,DUR-480,1336.69,1.0,1.0,1.0,1336.69,1434.0,0
81,DUR-480,1335.91,1.0362,1.28,1.0,1771.8,2008.0,0
82,DUR-480,1335.13,1.0718,0.92,1.6571,2181.63,2513.0,1
83,DUR-480,1334.34,1.1064,1.0,0.85,1254.85,1042.0,0
84,DUR-480,1333.56,1.1394,1.0,1.0,1519.48,1392.0,0
85,DUR-480,1332.78,1.1704,1.0,1.0,1559.91,1692.0,0
86,DUR-480,1332.0,1.1989,1.0,1.0,1596.99,1800.0,0
87,DUR-480,1331.22,1.2246,1.0,1.0,1630.15,1489.0,0
88,DUR-480,1330.44,1.2469,1.0,1.0,1658.92,1479.0,0
89,DUR-480,1329.66,1.2656,1.0,1.0,1682.87,1531.0,0
