t,semana,iso_anio,iso_semana,sku,familia,formato_g,canal,pedidos_cajas,despachos_cajas,precio_clp_caja,promo,fiestas_patrias,semana_santa,planta_cerrada
1,2023-03-06,2023,10,DUR-480,DUR,480,Retail,1456.0,1456.0,21500.0,0,0,0,0
2,2023-03-13,2023,11,DUR-480,DUR,480,Retail,1126.0,1126.0,21514.0,0,0,0,0
3,2023-03-20,2023,12,DUR-480,DUR,480,Retail,1234.0,1234.0,21528.0,0,0,0,0
4,2023-03-27,2023,13,DUR-480,DUR,480,Retail,1452.0,1452.0,21543.0,0,0,0,0
5,2023-04-03,2023,14,DUR-480,DUR,480,Retail,1209.0,1209.0,21557.0,0,0,1,0
6,2023-04-10,2023,15,DUR-480,DUR,480,Retail,1379.0,1379.0,21571.0,0,0,0,0
7,2023-04-17,2023,16,DUR-480,DUR,480,Retail,1175.0,1175.0,21586.0,0,0,0,0
8,2023-04-24,2023,17,DUR-480,DUR,480,Retail,1305.0,1305.0,21600.0,0,0,0,0
9,2023-05-01,2023,18,DUR-480,DUR,480,Retail,1360.0,1360.0,17724.0,1,0,0,0
10,2023-05-08,2023,19,DUR-480,DUR,480,Retail,934.0,934.0,21628.0,0,0,0,0
11,2023-05-15,2023,20,DUR-480,DUR,480,Retail,1083.0,1083.0,21643.0,0,0,0,0
12,2023-05-22,2023,21,DUR-480,DUR,480,Retail,926.0,926.0,21657.0,0,0,0,0
13,2023-05-29,2023,22,DUR-480,DUR,480,Retail,1108.0,1108.0,21671.0,0,0,0,0
14,2023-06-05,2023,23,DUR-480,DUR,480,Retail,1222.0,1222.0,21686.0,0,0,0,0
15,2023-06-12,2023,24,DUR-480,DUR,480,Retail,758.0,758.0,21700.0,0,0,0,0
16,2023-06-19,2023,25,DUR-480,DUR,480,Retail,1307.0,1307.0,17806.0,1,0,0,0
17,2023-06-26,2023,26,DUR-480,DUR,480,Retail,855.0,855.0,21729.0,0,0,0,0
18,2023-07-03,2023,27,DUR-480,DUR,480,Retail,989.0,989.0,21743.0,0,0,0,0
19,2023-07-10,2023,28,DUR-480,DUR,480,Retail,1012.0,1012.0,21758.0,0,0,0,0
20,2023-07-17,2023,29,DUR-480,DUR,480,Retail,977.0,977.0,21772.0,0,0,0,0
21,2023-07-24,2023,30,DUR-480,DUR,480,Retail,1253.0,1253.0,21786.0,0,0,0,0
22,2023-07-31,2023,31,DUR-480,DUR,480,Retail,905.0,905.0,21801.0,0,0,0,0
23,2023-08-07,2023,32,DUR-480,DUR,480,Retail,1046.0,1046.0,21815.0,0,0,0,0
24,2023-08-14,2023,33,DUR-480,DUR,480,Retail,1194.0,1194.0,21830.0,0,0,0,0
25,2023-08-21,2023,34,DUR-480,DUR,480,Retail,1398.0,1398.0,21844.0,0,0,0,0
26,2023-08-28,2023,35,DUR-480,DUR,480,Retail,1495.0,1495.0,21859.0,0,0,0,0
27,2023-09-04,2023,36,DUR-480,DUR,480,Retail,1323.0,1323.0,21873.0,0,0,0,0
28,2023-09-11,2023,37,DUR-480,DUR,480,Retail,1318.0,1318.0,21887.0,0,0,0,0
29,2023-09-18,2023,38,DUR-480,DUR,480,Retail,3876.0,2363.0,17960.0,1,1,0,0
30,2023-09-25,2023,39,DUR-480,DUR,480,Retail,1097.0,1097.0,21916.0,0,0,0,0
31,2023-10-02,2023,40,DUR-480,DUR,480,Retail,1307.0,1307.0,21931.0,0,0,0,0
32,2023-10-09,2023,41,DUR-480,DUR,480,Retail,1863.0,1863.0,21945.0,0,0,0,0
33,2023-10-16,2023,42,DUR-480,DUR,480,Retail,1656.0,1656.0,21960.0,0,0,0,0
34,2023-10-23,2023,43,DUR-480,DUR,480,Retail,1644.0,1644.0,21975.0,0,0,0,0
35,2023-10-30,2023,44,DUR-480,DUR,480,Retail,1644.0,1644.0,21989.0,0,0,0,0
36,2023-11-06,2023,45,DUR-480,DUR,480,Retail,1771.0,1771.0,22004.0,0,0,0,0
37,2023-11-13,2023,46,DUR-480,DUR,480,Retail,1660.0,1660.0,22018.0,0,0,0,0
38,2023-11-20,2023,47,DUR-480,DUR,480,Retail,1873.0,1873.0,22033.0,0,0,0,0
39,2023-11-27,2023,48,DUR-480,DUR,480,Retail,1550.0,1550.0,22047.0,0,0,0,0
40,2023-12-04,2023,49,DUR-480,DUR,480,Retail,1866.0,1866.0,22062.0,0,0,0,0
41,2023-12-11,2023,50,DUR-480,DUR,480,Retail,1434.0,1434.0,22077.0,0,0,0,0
42,2023-12-18,2023,51,DUR-480,DUR,480,Retail,1762.0,1762.0,22091.0,0,0,0,0
43,2023-12-25,2023,52,DUR-480,DUR,480,Retail,1376.0,1376.0,22106.0,0,0,0,0
44,2024-01-01,2024,1,DUR-480,DUR,480,Retail,2270.0,2270.0,22120.0,0,0,0,0
45,2024-01-08,2024,2,DUR-480,DUR,480,Retail,1540.0,1540.0,22135.0,0,0,0,0
46,2024-01-15,2024,3,DUR-480,DUR,480,Retail,1570.0,1570.0,22150.0,0,0,0,0
47,2024-01-22,2024,4,DUR-480,DUR,480,Retail,1565.0,1565.0,22164.0,0,0,0,0
48,2024-01-29,2024,5,DUR-480,DUR,480,Retail,1615.0,0.0,22179.0,0,0,0,1
49,2024-02-05,2024,6,DUR-480,DUR,480,Retail,2475.0,0.0,22194.0,0,0,0,1
50,2024-02-12,2024,7,DUR-480,DUR,480,Retail,3068.0,2334.0,22208.0,0,0,0,0
51,2024-02-19,2024,8,DUR-480,DUR,480,Retail,1458.0,1458.0,22223.0,0,0,0,0
52,2024-02-26,2024,9,DUR-480,DUR,480,Retail,2121.0,2121.0,18235.0,1,0,0,0
53,2024-03-04,2024,10,DUR-480,DUR,480,Retail,1179.0,1179.0,22252.0,0,0,0,0
