padre,hijo,nivel,cantidad,unidad,merma
DUR-480,PREP-DUR,1,11.8656,kg,0.03
DUR-480,HOJALATA,2,24.0,tarro,0.0
DUR-820,PREP-DUR,1,10.1352,kg,0.03
DUR-820,HOJALATA,2,12.0,tarro,0.0
TOM-480,PREP-TOM,1,11.7274,kg,0.018
TOM-480,HOJALATA,2,24.0,tarro,0.0
TOM-3000,PREP-TOM,1,18.324,kg,0.018
TOM-3000,HOJALATA,2,6.0,tarro,0.0
POR-480,PREP-POR,1,11.808,kg,0.025
POR-480,HOJALATA,2,24.0,tarro,0.0
POR-3000,PREP-POR,1,18.45,kg,0.025
POR-3000,HOJALATA,2,6.0,tarro,0.0
PREP-DUR,FRUTA-DUR,2,1.24,kg,0.0
PREP-TOM,PASTA-TOM,2,1.08,kg,0.0
PREP-POR,POROTO-SEC,2,0.46,kg,0.0
