t,recurso,horas_disponibles,horas_extra_max,costo_hora_extra_clp,observacion
1,PREP,46.0,8.0,138000,
2,PREP,41.0,8.0,138000,revision de marmitas
3,PREP,46.0,8.0,138000,
4,PREP,46.0,8.0,138000,
5,PREP,46.0,8.0,138000,
6,PREP,46.0,8.0,138000,
7,PREP,46.0,8.0,138000,
8,PREP,46.0,8.0,138000,
9,PREP,46.0,8.0,138000,
10,PREP,46.0,8.0,138000,
11,PREP,46.0,8.0,138000,
12,PREP,38.0,8.0,138000,feriado
1,L1,45.0,10.0,121000,
2,L1,45.0,10.0,121000,
3,L1,45.0,10.0,121000,
4,L1,45.0,10.0,121000,
5,L1,45.0,10.0,121000,
6,L1,45.0,10.0,121000,
7,L1,39.0,10.0,121000,cambio de cabezal de la llenadora
8,L1,45.0,10.0,121000,
9,L1,45.0,10.0,121000,
10,L1,45.0,10.0,121000,
11,L1,45.0,10.0,121000,
12,L1,37.0,10.0,121000,feriado
1,L2,26.0,8.0,116000,
2,L2,26.0,8.0,116000,
3,L2,26.0,8.0,116000,
4,L2,26.0,8.0,116000,
5,L2,26.0,8.0,116000,
6,L2,26.0,8.0,116000,
7,L2,26.0,8.0,116000,
8,L2,26.0,8.0,116000,
9,L2,26.0,8.0,116000,
10,L2,26.0,8.0,116000,
11,L2,26.0,8.0,116000,
12,L2,18.0,8.0,116000,feriado
1,AUT,48.0,6.0,204000,
2,AUT,48.0,6.0,204000,
3,AUT,48.0,6.0,204000,
4,AUT,48.0,6.0,204000,
5,AUT,48.0,6.0,204000,
6,AUT,40.0,6.0,204000,mantencion programada del autoclave
7,AUT,48.0,6.0,204000,
8,AUT,48.0,6.0,204000,
9,AUT,48.0,6.0,204000,
10,AUT,44.0,6.0,204000,certificacion de valvulas de seguridad
11,AUT,48.0,6.0,204000,
12,AUT,40.0,6.0,204000,feriado
