t,semana,iso_semana,sku,familia,formato_g,demanda_cajas,sigma_pronostico_cajas
1,2026-08-31,36,DUR-480,DUR,480,1213.0,163.7
2,2026-09-07,37,DUR-480,DUR,480,1258.0,174.0
3,2026-09-14,38,DUR-480,DUR,480,1667.0,236.0
4,2026-09-21,39,DUR-480,DUR,480,1239.0,179.3
5,2026-09-28,40,DUR-480,DUR,480,1389.0,205.4
6,2026-10-05,41,DUR-480,DUR,480,1430.0,215.8
7,2026-10-12,42,DUR-480,DUR,480,1468.0,225.9
8,2026-10-19,43,DUR-480,DUR,480,1503.0,235.7
9,2026-10-26,44,DUR-480,DUR,480,1534.0,245.0
10,2026-11-02,45,DUR-480,DUR,480,1561.0,253.7
11,2026-11-09,46,DUR-480,DUR,480,1583.0,261.8
12,2026-11-16,47,DUR-480,DUR,480,1601.0,269.1
1,2026-08-31,36,DUR-820,DUR,820,262.0,35.4
2,2026-09-07,37,DUR-820,DUR,820,270.0,37.4
3,2026-09-14,38,DUR-820,DUR,820,357.0,50.6
4,2026-09-21,39,DUR-820,DUR,820,264.0,38.3
5,2026-09-28,40,DUR-820,DUR,820,295.0,43.7
6,2026-10-05,41,DUR-820,DUR,820,303.0,45.7
7,2026-10-12,42,DUR-820,DUR,820,309.0,47.6
8,2026-10-19,43,DUR-820,DUR,820,316.0,49.5
9,2026-10-26,44,DUR-820,DUR,820,321.0,51.3
10,2026-11-02,45,DUR-820,DUR,820,325.0,52.9
11,2026-11-09,46,DUR-820,DUR,820,329.0,54.3
12,2026-11-16,47,DUR-820,DUR,820,331.0,55.6
1,2026-08-31,36,TOM-480,TOM,480,3569.0,481.8
2,2026-09-07,37,TOM-480,TOM,480,3480.0,481.4
3,2026-09-14,38,TOM-480,TOM,480,4341.0,614.7
4,2026-09-21,39,TOM-480,TOM,480,3040.0,440.1
5,2026-09-28,40,TOM-480,TOM,480,3220.0,476.1
6,2026-10-05,41,TOM-480,TOM,480,3138.0,473.7
7,2026-10-12,42,TOM-480,TOM,480,3062.0,471.4
8,2026-10-19,43,TOM-480,TOM,480,2993.0,469.4
9,2026-10-26,44,TOM-480,TOM,480,2930.0,468.0
10,2026-11-02,45,TOM-480,TOM,480,2876.0,467.5
11,2026-11-09,46,TOM-480,TOM,480,2831.0,468.0
12,2026-11-16,47,TOM-480,TOM,480,2795.0,469.8
1,2026-08-31,36,TOM-3000,TOM,3000,408.0,55.1
2,2026-09-07,37,TOM-3000,TOM,3000,398.0,55.0
3,2026-09-14,38,TOM-3000,TOM,3000,496.0,70.3
4,2026-09-21,39,TOM-3000,TOM,3000,347.0,50.3
5,2026-09-28,40,TOM-3000,TOM,3000,368.0,54.4
6,2026-10-05,41,TOM-3000,TOM,3000,359.0,54.1
7,2026-10-12,42,TOM-3000,TOM,3000,350.0,53.9
8,2026-10-19,43,TOM-3000,TOM,3000,342.0,53.6
9,2026-10-26,44,TOM-3000,TOM,3000,335.0,53.5
10,2026-11-02,45,TOM-3000,TOM,3000,329.0,53.4
11,2026-11-09,46,TOM-3000,TOM,3000,324.0,53.5
12,2026-11-16,47,TOM-3000,TOM,3000,319.0,53.7
1,2026-08-31,36,POR-480,POR,480,1197.0,161.6
2,2026-09-07,37,POR-480,POR,480,1167.0,161.4
3,2026-09-14,38,POR-480,POR,480,1451.0,205.4
4,2026-09-21,39,POR-480,POR,480,1009.0,146.1
5,2026-09-28,40,POR-480,POR,480,1058.0,156.5
6,2026-10-05,41,POR-480,POR,480,1018.0,153.6
7,2026-10-12,42,POR-480,POR,480,976.0,150.2
8,2026-10-19,43,POR-480,POR,480,933.0,146.4
9,2026-10-26,44,POR-480,POR,480,891.0,142.3
10,2026-11-02,45,POR-480,POR,480,849.0,138.0
11,2026-11-09,46,POR-480,POR,480,808.0,133.6
12,2026-11-16,47,POR-480,POR,480,769.0,129.2
1,2026-08-31,36,POR-3000,POR,3000,126.0,17.1
2,2026-09-07,37,POR-3000,POR,3000,123.0,17.0
3,2026-09-14,38,POR-3000,POR,3000,153.0,21.7
4,2026-09-21,39,POR-3000,POR,3000,107.0,15.4
5,2026-09-28,40,POR-3000,POR,3000,112.0,16.5
6,2026-10-05,41,POR-3000,POR,3000,107.0,16.2
7,2026-10-12,42,POR-3000,POR,3000,103.0,15.9
8,2026-10-19,43,POR-3000,POR,3000,98.0,15.5
9,2026-10-26,44,POR-3000,POR,3000,94.0,15.0
10,2026-11-02,45,POR-3000,POR,3000,90.0,14.6
11,2026-11-09,46,POR-3000,POR,3000,85.0,14.1
12,2026-11-16,47,POR-3000,POR,3000,81.0,13.6
