escenario,prob,t,sku,demanda_cajas
s1-bajo-general,0.1,1,DUR-480,965.0
s1-bajo-general,0.1,2,DUR-480,1084.0
s1-bajo-general,0.1,3,DUR-480,1356.0
s1-bajo-general,0.1,4,DUR-480,1056.0
s1-bajo-general,0.1,5,DUR-480,1219.0
s1-bajo-general,0.1,6,DUR-480,1105.0
s1-bajo-general,0.1,7,DUR-480,1220.0
s1-bajo-general,0.1,8,DUR-480,1155.0
s1-bajo-general,0.1,9,DUR-480,1329.0
s1-bajo-general,0.1,10,DUR-480,1315.0
s1-bajo-general,0.1,11,DUR-480,1369.0
s1-bajo-general,0.1,12,DUR-480,1253.0
s1-bajo-general,0.1,1,DUR-820,202.0
s1-bajo-general,0.1,2,DUR-820,209.0
s1-bajo-general,0.1,3,DUR-820,303.0
s1-bajo-general,0.1,4,DUR-820,195.0
s1-bajo-general,0.1,5,DUR-820,211.0
s1-bajo-general,0.1,6,DUR-820,213.0
s1-bajo-general,0.1,7,DUR-820,244.0
s1-bajo-general,0.1,8,DUR-820,253.0
s1-bajo-general,0.1,9,DUR-820,232.0
s1-bajo-general,0.1,10,DUR-820,244.0
s1-bajo-general,0.1,11,DUR-820,253.0
s1-bajo-general,0.1,12,DUR-820,287.0
s1-bajo-general,0.1,1,TOM-480,3078.0
s1-bajo-general,0.1,2,TOM-480,2669.0
s1-bajo-general,0.1,3,TOM-480,3743.0
s1-bajo-general,0.1,4,TOM-480,2599.0
s1-bajo-general,0.1,5,TOM-480,2706.0
s1-bajo-general,0.1,6,TOM-480,2517.0
s1-bajo-general,0.1,7,TOM-480,2279.0
s1-bajo-general,0.1,8,TOM-480,2334.0
s1-bajo-general,0.1,9,TOM-480,2227.0
s1-bajo-general,0.1,10,TOM-480,2389.0
s1-bajo-general,0.1,11,TOM-480,2170.0
s1-bajo-general,0.1,12,TOM-480,2309.0
s1-bajo-general,0.1,1,TOM-3000,302.0
s1-bajo-general,0.1,2,TOM-3000,310.0
s1-bajo-general,0.1,3,TOM-3000,410.0
s1-bajo-general,0.1,4,TOM-3000,273.0
s1-bajo-general,0.1,5,TOM-3000,307.0
s1-bajo-general,0.1,6,TOM-3000,279.0
s1-bajo-general,0.1,7,TOM-3000,307.0
s1-bajo-general,0.1,8,TOM-3000,293.0
s1-bajo-general,0.1,9,TOM-3000,309.0
s1-bajo-general,0.1,10,TOM-3000,267.0
s1-bajo-general,0.1,11,TOM-3000,239.0
s1-bajo-general,0.1,12,TOM-3000,240.0
s1-bajo-general,0.1,1,POR-480,858.0
s1-bajo-general,0.1,2,POR-480,985.0
s1-bajo-general,0.1,3,POR-480,1290.0
s1-bajo-general,0.1,4,POR-480,785.0
s1-bajo-general,0.1,5,POR-480,955.0
s1-bajo-general,0.1,6,POR-480,869.0
s1-bajo-general,0.1,7,POR-480,807.0
s1-bajo-general,0.1,8,POR-480,719.0
s1-bajo-general,0.1,9,POR-480,754.0
s1-bajo-general,0.1,10,POR-480,702.0
s1-bajo-general,0.1,11,POR-480,719.0
s1-bajo-general,0.1,12,POR-480,655.0
s1-bajo-general,0.1,1,POR-3000,123.0
s1-bajo-general,0.1,2,POR-3000,89.0
s1-bajo-general,0.1,3,POR-3000,130.0
s1-bajo-general,0.1,4,POR-3000,88.0
s1-bajo-general,0.1,5,POR-3000,93.0
s1-bajo-general,0.1,6,POR-3000,100.0
s1-bajo-general,0.1,7,POR-3000,85.0
s1-bajo-general,0.1,8,POR-3000,78.0
s1-bajo-general,0.1,9,POR-3000,82.0
s1-bajo-general,0.1,10,POR-3000,78.0
s1-bajo-general,0.1,11,POR-3000,82.0
