nodo,padre,etapa,probabilidad,t,demanda,mult_retornos
1,0,1,1.0,1,2400.0,1.0
1,0,1,1.0,2,2664.0,1.0
1,0,1,1.0,3,2857.0,1.0
1,0,1,1.0,4,2928.0,1.0
2,1,2,0.5,5,2514.0,1.1
2,1,2,0.5,6,2344.0,1.1
2,1,2,0.5,7,2112.0,1.1
2,1,2,0.5,8,1880.0,1.1
3,1,2,0.5,5,3257.0,0.86
3,1,2,0.5,6,3037.0,0.86
3,1,2,0.5,7,2736.0,0.86
3,1,2,0.5,8,2435.0,0.86
4,2,3,0.25,9,1505.0,1.21
4,2,3,0.25,10,1450.0,1.21
4,2,3,0.25,11,1505.0,1.21
4,2,3,0.25,12,1654.0,1.21
5,2,3,0.25,9,1949.0,0.946
5,2,3,0.25,10,1878.0,0.946
5,2,3,0.25,11,1949.0,0.946
5,2,3,0.25,12,2143.0,0.946
6,3,3,0.25,9,1949.0,0.946
6,3,3,0.25,10,1878.0,0.946
6,3,3,0.25,11,1949.0,0.946
6,3,3,0.25,12,2143.0,0.946
7,3,3,0.25,9,2525.0,0.7396
7,3,3,0.25,10,2433.0,0.7396
7,3,3,0.25,11,2525.0,0.7396
7,3,3,0.25,12,2776.0,0.7396
