escenario,probabilidad,t,demanda,retornos,rendimiento
s01,0.1,1,1843.0,855.0,0.6073
s01,0.1,2,2046.0,866.0,0.6928
s01,0.1,3,2194.0,1272.0,0.6469
s01,0.1,4,2248.0,1304.0,0.6982
s01,0.1,5,2194.0,1234.0,0.6548
s01,0.1,6,2046.0,1275.0,0.7415
s01,0.1,7,1843.0,1546.0,0.6246
s01,0.1,8,1640.0,1526.0,0.8249
s01,0.1,9,1492.0,1177.0,0.7341
s01,0.1,10,1438.0,781.0,0.7604
s01,0.1,11,1492.0,780.0,0.7944
s01,0.1,12,1640.0,786.0,0.6646
s02,0.1,1,2127.0,1376.0,0.6533
s02,0.1,2,2361.0,1394.0,0.7452
s02,0.1,3,2532.0,2047.0,0.6958
s02,0.1,4,2594.0,2099.0,0.7511
s02,0.1,5,2532.0,1987.0,0.7043
s02,0.1,6,2361.0,2053.0,0.7976
s02,0.1,7,2127.0,2489.0,0.6718
s02,0.1,8,1893.0,2457.0,0.8873
s02,0.1,9,1722.0,1894.0,0.7897
s02,0.1,10,1659.0,1258.0,0.8179
s02,0.1,11,1722.0,1256.0,0.8545
s02,0.1,12,1893.0,1265.0,0.7149
s03,0.1,1,2284.0,1028.0,0.6511
s03,0.1,2,2536.0,1041.0,0.7427
s03,0.1,3,2719.0,1529.0,0.6935
s03,0.1,4,2787.0,1568.0,0.7485
s03,0.1,5,2719.0,1484.0,0.7019
s03,0.1,6,2536.0,1533.0,0.7949
s03,0.1,7,2284.0,1859.0,0.6695
s03,0.1,8,2033.0,1835.0,0.8843
s03,0.1,9,1849.0,1414.0,0.787
s03,0.1,10,1782.0,939.0,0.8151
s03,0.1,11,1849.0,938.0,0.8516
s03,0.1,12,2033.0,945.0,0.7124
s04,0.1,1,2529.0,1505.0,0.6517
s04,0.1,2,2807.0,1524.0,0.7434
s04,0.1,3,3010.0,2239.0,0.6942
s04,0.1,4,3085.0,2296.0,0.7493
s04,0.1,5,3010.0,2173.0,0.7026
s04,0.1,6,2807.0,2245.0,0.7957
s04,0.1,7,2529.0,2722.0,0.6702
s04,0.1,8,2250.0,2687.0,0.8852
s04,0.1,9,2047.0,2071.0,0.7878
s04,0.1,10,1972.0,1376.0,0.8159
s04,0.1,11,2047.0,1373.0,0.8524
s04,0.1,12,2250.0,1383.0,0.7131
s05,0.1,1,2249.0,859.0,0.6896
s05,0.1,2,2497.0,869.0,0.7866
s05,0.1,3,2678.0,1277.0,0.7345
s05,0.1,4,2744.0,1310.0,0.7928
s05,0.1,5,2678.0,1239.0,0.7435
s05,0.1,6,2497.0,1281.0,0.8419
s05,0.1,7,2249.0,1553.0,0.7092
s05,0.1,8,2002.0,1533.0,0.9366
s05,0.1,9,1821.0,1181.0,0.8336
s05,0.1,10,1754.0,785.0,0.8634
s05,0.1,11,1821.0,783.0,0.902
s05,0.1,12,2002.0,789.0,0.7546
s06,0.1,1,2801.0,1079.0,0.627
s06,0.1,2,3109.0,1092.0,0.7153
s06,0.1,3,3334.0,1604.0,0.6679
s06,0.1,4,3417.0,1645.0,0.7209
s06,0.1,5,3334.0,1557.0,0.676
s06,0.1,6,3109.0,1609.0,0.7656
s06,0.1,7,2801.0,1951.0,0.6448
s06,0.1,8,2493.0,1925.0,0.8516
s06,0.1,9,2268.0,1484.0,0.758
s06,0.1,10,2185.0,986.0,0.785
s06,0.1,11,2268.0,984.0,0.8202
s06,0.1,12,2493.0,991.0,0.6861
s07,0.1,1,2214.0,943.0,0.7092
s07,0.1,2,2458.0,955.0,0.809
s07,0.1,3,2636.0,1403.0,0.7554
s07,0.1,4,2701.0,1439.0,0.8154
s07,0.1,5,2636.0,1361.0,0.7646
s07,0.1,6,2458.0,1407.0,0.8659
s07,0.1,7,2214.0,1706.0,0.7293
s07,0.1,8,1971.0,1684.0,0.95
s07,0.1,9,1793.0,1298.0,0.8573
s07,0.1,10,1727.0,862.0,0.8879
s07,0.1,11,1793.0,860.0,0.9277
s07,0.1,12,1971.0,867.0,0.7761
s08,0.1,1,2017.0,1122.0,0.6443
s08,0.1,2,2238.0,1136.0,0.7349
s08,0.1,3,2401.0,1669.0,0.6862
s08,0.1,4,2460.0,1711.0,0.7407
s08,0.1,5,2401.0,1619.0,0.6946
s08,0.1,6,2238.0,1673.0,0.7866
s08,0.1,7,2017.0,2029.0,0.6626
s08,0.1,8,1795.0,2002.0,0.875
s08,0.1,9,1633.0,1544.0,0.7788
s08,0.1,10,1573.0,1025.0,0.8066
s08,0.1,11,1633.0,1023.0,0.8427
s08,0.1,12,1795.0,1031.0,0.705
s09,0.1,1,2597.0,1118.0,0.6451
s09,0.1,2,2883.0,1132.0,0.7358
s09,0.1,3,3092.0,1663.0,0.6871
s09,0.1,4,3169.0,1706.0,0.7416
s09,0.1,5,3092.0,1614.0,0.6955
s09,0.1,6,2883.0,1668.0,0.7876
s09,0.1,7,2597.0,2022.0,0.6634
s09,0.1,8,2311.0,1996.0,0.8761
s09,0.1,9,2103.0,1539.0,0.7798
s09,0.1,10,2026.0,1022.0,0.8076
s09,0.1,11,2103.0,1020.0,0.8438
s09,0.1,12,2311.0,1028.0,0.7059
s10,0.1,1,2415.0,960.0,0.6408
s10,0.1,2,2681.0,972.0,0.731
s10,0.1,3,2875.0,1428.0,0.6826
s10,0.1,4,2946.0,1465.0,0.7367
s10,0.1,5,2875.0,1386.0,0.6909
s10,0.1,6,2681.0,1432.0,0.7824
s10,0.1,7,2415.0,1737.0,0.659
s10,0.1,8,2149.0,1714.0,0.8704
s10,0.1,9,1955.0,1321.0,0.7746
s10,0.1,10,1884.0,878.0,0.8023
s10,0.1,11,1955.0,876.0,0.8382
s10,0.1,12,2149.0,883.0,0.7012
