t,demanda,retornos,rendimiento,horas_disponibles,horas_extra_max,costo_hora_extra_clp
1,2400.0,1186,0.6695,30.0,6.0,152000
2,2664.0,1201,0.7637,30.0,6.0,152000
3,2857.0,1764,0.7131,30.0,6.0,152000
4,2928.0,1809,0.7697,30.0,6.0,152000
5,2857.0,1712,0.7218,30.0,6.0,152000
6,2664.0,1769,0.8174,30.0,6.0,152000
7,2400.0,2145,0.6885,30.0,6.0,152000
8,2136.0,2117,0.9093,25.0,6.0,152000
9,1943.0,1632,0.8093,30.0,6.0,152000
10,1872.0,1084,0.8382,30.0,6.0,152000
11,1943.0,1082,0.8757,30.0,6.0,152000
12,2136.0,1090,0.7326,30.0,6.0,152000
