desde,hacia,setup_h
J01-TOM-480,J01-TOM-480,0.0
J01-TOM-480,J02-DUR-480,2.4
J01-TOM-480,J03-POR-480,1.5
J01-TOM-480,J04-TOM-3000,0.8
J01-TOM-480,J05-DUR-820,2.9
J01-TOM-480,J06-POR-3000,2.0
J01-TOM-480,J07-TOM-480,0.3
J01-TOM-480,J08-DUR-480,2.4
J01-TOM-480,J09-POR-480,1.5
J01-TOM-480,J10-TOM-3000,0.8
J02-DUR-480,J01-TOM-480,0.9
J02-DUR-480,J02-DUR-480,0.0
J02-DUR-480,J03-POR-480,1.1
J02-DUR-480,J04-TOM-3000,1.4
J02-DUR-480,J05-DUR-820,0.8
J02-DUR-480,J06-POR-3000,1.6
J02-DUR-480,J07-TOM-480,0.9
J02-DUR-480,J08-DUR-480,0.3
J02-DUR-480,J09-POR-480,1.1
J02-DUR-480,J10-TOM-3000,1.4
J03-POR-480,J01-TOM-480,1.3
J03-POR-480,J02-DUR-480,2.0
J03-POR-480,J03-POR-480,0.0
J03-POR-480,J04-TOM-3000,1.8
J03-POR-480,J05-DUR-820,2.5
J03-POR-480,J06-POR-3000,0.8
J03-POR-480,J07-TOM-480,1.3
J03-POR-480,J08-DUR-480,2.0
J03-POR-480,J09-POR-480,0.3
J03-POR-480,J10-TOM-3000,1.8
J04-TOM-3000,J01-TOM-480,0.8
J04-TOM-3000,J02-DUR-480,2.9
J04-TOM-3000,J03-POR-480,2.0
J04-TOM-3000,J04-TOM-3000,0.0
J04-TOM-3000,J05-DUR-820,2.9
J04-TOM-3000,J06-POR-3000,1.5
J04-TOM-3000,J07-TOM-480,0.8
J04-TOM-3000,J08-DUR-480,2.9
J04-TOM-3000,J09-POR-480,2.0
J04-TOM-3000,J10-TOM-3000,0.3
J05-DUR-820,J01-TOM-480,1.4
J05-DUR-820,J02-DUR-480,0.8
J05-DUR-820,J03-POR-480,1.6
J05-DUR-820,J04-TOM-3000,1.4
J05-DUR-820,J05-DUR-820,0.0
J05-DUR-820,J06-POR-3000,1.6
J05-DUR-820,J07-TOM-480,1.4
J05-DUR-820,J08-DUR-480,0.8
J05-DUR-820,J09-POR-480,1.6
J05-DUR-820,J10-TOM-3000,1.4
J06-POR-3000,J01-TOM-480,1.8
J06-POR-3000,J02-DUR-480,2.5
J06-POR-3000,J03-POR-480,0.8
J06-POR-3000,J04-TOM-3000,1.3
J06-POR-3000,J05-DUR-820,2.5
J06-POR-3000,J06-POR-3000,0.0
J06-POR-3000,J07-TOM-480,1.8
J06-POR-3000,J08-DUR-480,2.5
J06-POR-3000,J09-POR-480,0.8
J06-POR-3000,J10-TOM-3000,1.3
J07-TOM-480,J01-TOM-480,0.3
J07-TOM-480,J02-DUR-480,2.4
J07-TOM-480,J03-POR-480,1.5
J07-TOM-480,J04-TOM-3000,0.8
J07-TOM-480,J05-DUR-820,2.9
J07-TOM-480,J06-POR-3000,2.0
J07-TOM-480,J07-TOM-480,0.0
J07-TOM-480,J08-DUR-480,2.4
J07-TOM-480,J09-POR-480,1.5
J07-TOM-480,J10-TOM-3000,0.8
J08-DUR-480,J01-TOM-480,0.9
J08-DUR-480,J02-DUR-480,0.3
J08-DUR-480,J03-POR-480,1.1
J08-DUR-480,J04-TOM-3000,1.4
J08-DUR-480,J05-DUR-820,0.8
J08-DUR-480,J06-POR-3000,1.6
J08-DUR-480,J07-TOM-480,0.9
J08-DUR-480,J08-DUR-480,0.0
J08-DUR-480,J09-POR-480,1.1
J08-DUR-480,J10-TOM-3000,1.4
J09-POR-480,J01-TOM-480,1.3
J09-POR-480,J02-DUR-480,2.0
J09-POR-480,J03-POR-480,0.3
J09-POR-480,J04-TOM-3000,1.8
J09-POR-480,J05-DUR-820,2.5
J09-POR-480,J06-POR-3000,0.8
J09-POR-480,J07-TOM-480,1.3
J09-POR-480,J08-DUR-480,2.0
J09-POR-480,J09-POR-480,0.0
J09-POR-480,J10-TOM-3000,1.8
J10-TOM-3000,J01-TOM-480,0.8
J10-TOM-3000,J02-DUR-480,2.9
J10-TOM-3000,J03-POR-480,2.0
J10-TOM-3000,J04-TOM-3000,0.3
J10-TOM-3000,J05-DUR-820,2.9
J10-TOM-3000,J06-POR-3000,1.5
J10-TOM-3000,J07-TOM-480,0.8
J10-TOM-3000,J08-DUR-480,2.9
J10-TOM-3000,J09-POR-480,2.0
J10-TOM-3000,J10-TOM-3000,0.0
