desde,hacia,distancia_km,tiempo_viaje_h
D,D,0.0,0.0
D,C1,19.31,0.5082
D,C2,16.64,0.438
D,C3,25.71,0.6766
D,C4,14.87,0.3912
D,C5,22.8,0.6001
D,C6,22.83,0.6007
D,C7,21.63,0.5693
D,C8,12.37,0.3255
C1,D,19.31,0.5082
C1,C1,0.0,0.0
C1,C2,27.89,0.734
C1,C3,14.76,0.3885
C1,C4,34.18,0.8994
C1,C5,19.21,0.5055
C1,C6,38.21,1.0055
C1,C7,25.71,0.6766
C1,C8,24.21,0.637
C2,D,16.64,0.438
C2,C1,27.89,0.734
C2,C2,0.0,0.0
C2,C3,39.45,1.0381
C2,C4,19.65,0.517
C2,C5,17.0,0.4474
C2,C6,11.4,0.3
C2,C7,38.28,1.0072
C2,C8,28.64,0.7536
C3,D,25.71,0.6766
C3,C1,14.76,0.3885
C3,C2,39.45,1.0381
C3,C3,0.0,0.0
C3,C4,39.01,1.0267
C3,C5,33.84,0.8905
C3,C6,48.1,1.2659
C3,C7,17.69,0.4656
C3,C8,22.8,0.6001
C4,D,14.87,0.3912
C4,C1,34.18,0.8994
C4,C2,19.65,0.517
C4,C3,39.01,1.0267
C4,C4,0.0,0.0
C4,C5,33.6,0.8842
C4,C6,17.09,0.4497
C4,C7,29.07,0.765
C4,C8,18.38,0.4838
C5,D,22.8,0.6001
C5,C1,19.21,0.5055
C5,C2,17.0,0.4474
C5,C3,33.84,0.8905
C5,C4,33.6,0.8842
C5,C5,0.0,0.0
C5,C6,28.23,0.7429
C5,C7,40.45,1.0644
C5,C8,34.13,0.8982
C6,D,22.83,0.6007
C6,C1,38.21,1.0055
C6,C2,11.4,0.3
C6,C3,48.1,1.2659
C6,C4,17.09,0.4497
C6,C5,28.23,0.7429
C6,C6,0.0,0.0
C6,C7,43.19,1.1365
C6,C8,32.53,0.856
C7,D,21.63,0.5693
C7,C1,25.71,0.6766
C7,C2,38.28,1.0072
C7,C3,17.69,0.4656
C7,C4,29.07,0.765
C7,C5,40.45,1.0644
C7,C6,43.19,1.1365
C7,C7,0.0,0.0
C7,C8,10.82,0.2846
C8,D,12.37,0.3255
C8,C1,24.21,0.637
C8,C2,28.64,0.7536
C8,C3,22.8,0.6001
C8,C4,18.38,0.4838
C8,C5,34.13,0.8982
C8,C6,32.53,0.856
C8,C7,10.82,0.2846
C8,C8,0.0,0.0
