subgrupo,inspeccionadas,no_conformes,fase,proporcion,lcl_fijos,ucl_fijos,senal_fijos,lcl_reestimados,ucl_reestimados,senal_reestimados
1,50,1,referencia,0.02,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
2,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
3,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
4,50,3,referencia,0.06,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
5,50,1,referencia,0.02,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
6,50,3,referencia,0.06,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
7,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
8,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
9,50,1,referencia,0.02,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
10,50,3,referencia,0.06,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
11,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
12,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
13,50,3,referencia,0.06,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
14,50,1,referencia,0.02,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
15,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
16,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
17,50,3,referencia,0.06,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
18,50,1,referencia,0.02,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
19,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
20,50,2,referencia,0.04,0.0,0.1231384387633061,False,0.0,0.16075713374248,False
21,50,7,monitoreo,0.14,0.0,0.1231384387633061,True,0.0,0.16075713374248,False
22,50,8,monitoreo,0.16,0.0,0.1231384387633061,True,0.0,0.16075713374248,False
23,50,9,monitoreo,0.18,0.0,0.1231384387633061,True,0.0,0.16075713374248,True
24,50,8,monitoreo,0.16,0.0,0.1231384387633061,True,0.0,0.16075713374248,False
