periodo,demanda,ingenuo,media_movil,ingenuo_estacional,ses_0.2,ses_0.5,ses_0.8
1,80.0,,,,80.0,80.0,80.0
2,100.0,80.0,,,80.0,80.0,80.0
3,120.0,100.0,,,84.0,90.0,96.0
4,100.0,120.0,100.0,,91.2,105.0,115.19999999999999
5,84.0,100.0,106.66666666666667,80.0,92.96000000000001,102.5,103.03999999999999
6,104.0,84.0,101.33333333333333,100.0,91.168,93.25,87.80799999999999
7,124.0,104.0,96.0,120.0,93.73440000000001,98.625,100.7616
8,104.0,124.0,104.0,100.0,99.78752,111.3125,119.35231999999999
9,88.0,104.0,110.66666666666667,84.0,100.630016,107.65625,107.070464
10,108.0,88.0,105.33333333333333,104.0,98.10401279999999,97.828125,91.8140928
11,128.0,108.0,100.0,124.0,100.08321024,102.9140625,104.76281856
12,108.0,128.0,108.0,104.0,105.666568192,115.45703125,123.352563712
13,92.0,108.0,114.66666666666667,88.0,106.13325455360001,111.728515625,111.0705127424
14,112.0,92.0,109.33333333333333,108.0,103.30660364288002,101.8642578125,95.81410254848001
15,132.0,112.0,104.0,128.0,105.04528291430402,106.93212890625,108.76282050969601
16,112.0,132.0,112.0,108.0,110.43622633144324,119.466064453125,127.35256410193921
17,96.0,112.0,118.66666666666667,92.0,110.7489810651546,115.7330322265625,115.07051282038785
18,116.0,96.0,113.33333333333333,112.0,107.79918485212369,105.86651611328125,99.81410256407757
19,136.0,116.0,108.0,132.0,109.43934788169896,110.93325805664062,112.76282051281552
20,116.0,136.0,116.0,112.0,114.75147830535919,123.46662902832031,131.35256410256312
21,100.0,116.0,122.66666666666667,96.0,115.00118264428735,119.73331451416016,119.07051282051263
22,120.0,100.0,117.33333333333333,116.0,112.00094611542988,109.86665725708008,103.81410256410253
23,140.0,120.0,112.0,136.0,113.60075689234391,114.93332862854004,116.7628205128205
24,120.0,140.0,120.0,116.0,118.88060551387514,127.46666431427002,135.3525641025641
25,104.0,120.0,126.66666666666667,100.0,119.10448441110012,123.73333215713501,123.07051282051282
26,124.0,104.0,121.33333333333333,120.0,116.0835875288801,113.8666660785675,107.81410256410257
27,144.0,124.0,116.0,140.0,117.66687002310408,118.93333303928375,120.76282051282051
28,124.0,144.0,124.0,120.0,122.93349601848327,131.46666651964188,139.3525641025641
