q,faltante_2,faltante_6,base,faltante_12
0,210.0,630.0,840.0,1260.0
1,208.0,624.0,832.0,1248.0
2,206.0,618.0,824.0,1236.0
3,204.0,612.0,816.0,1224.0
4,202.0,606.0,808.0,1212.0
5,200.0,600.0,800.0,1200.0
6,198.0,594.0,792.0,1188.0
7,196.0,588.0,784.0,1176.0
8,194.0,582.0,776.0,1164.0
9,192.0,576.0,768.0,1152.0
10,190.0,570.0,760.0,1140.0
11,188.0,564.0,752.0,1128.0
12,186.0,558.0,744.0,1116.0
13,184.0,552.0,736.0,1104.0
14,182.0,546.0,728.0,1092.0
15,180.0,540.0,720.0,1080.0
16,178.0,534.0,712.0,1068.0
17,176.0,528.0,704.0,1056.0
18,174.0,522.0,696.0,1044.0
19,172.0,516.0,688.0,1032.0
20,170.0,510.0,680.0,1020.0
21,168.0,504.0,672.0,1008.0
22,166.0,498.0,664.0,996.0
23,164.0,492.0,656.0,984.0
24,162.0,486.0,648.0,972.0
25,160.0,480.0,640.0,960.0
26,158.0,474.0,632.0,948.0
27,156.0,468.0,624.0,936.0
28,154.0,462.0,616.0,924.0
29,152.0,456.0,608.0,912.0
30,150.0,450.0,600.0,900.0
31,148.0,444.0,592.0,888.0
32,146.0,438.0,584.0,876.0
33,144.0,432.0,576.0,864.0
34,142.0,426.0,568.0,852.0
35,140.0,420.0,560.0,840.0
36,138.0,414.0,552.0,828.0
37,136.0,408.0,544.0,816.0
38,134.0,402.0,536.0,804.0
39,132.0,396.0,528.0,792.0
40,130.0,390.0,520.0,780.0
41,128.0,384.0,512.0,768.0
42,126.0,378.0,504.0,756.0
43,124.0,372.0,496.0,744.0
44,122.0,366.0,488.0,732.0
45,120.0,360.0,480.0,720.0
46,118.0,354.0,472.0,708.0
47,116.0,348.0,464.0,696.0
48,114.0,342.0,456.0,684.0
49,112.0,336.0,448.0,672.0
50,110.0,330.0,440.0,660.0
51,108.0,324.0,432.0,648.0
52,106.0,318.0,424.0,636.0
53,104.0,312.0,416.0,624.0
54,102.0,306.0,408.0,612.0
55,100.0,300.0,400.0,600.0
56,98.0,294.0,392.0,588.0
57,96.0,288.0,384.0,576.0
58,94.0,282.0,376.0,564.0
59,92.0,276.0,368.0,552.0
60,90.0,270.0,360.0,540.0
61,88.0,264.0,352.0,528.0
62,86.0,258.0,344.0,516.0
63,84.0,252.0,336.0,504.0
64,82.0,246.0,328.0,492.0
65,80.0,240.0,320.0,480.0
66,78.0,234.0,312.0,468.0
67,76.0,228.0,304.0,456.0
68,74.0,222.0,296.0,444.0
69,72.0,216.0,288.0,432.0
70,70.0,210.0,280.0,420.0
71,68.0,204.0,272.0,408.0
72,66.0,198.0,264.0,396.0
73,64.0,192.0,256.0,384.0
74,62.0,186.0,248.0,372.0
75,60.0,180.0,240.0,360.0
76,58.0,174.0,232.0,348.0
77,56.0,168.0,224.0,336.0
78,54.0,162.0,216.0,324.0
79,52.0,156.0,208.0,312.0
80,50.0,150.0,200.0,300.0
81,49.0,146.0,194.5,291.5
82,48.0,142.0,189.0,283.0
83,47.0,138.0,183.5,274.5
84,46.0,134.0,178.0,266.0
85,45.0,130.0,172.5,257.5
86,44.0,126.0,167.0,249.0
87,43.0,122.0,161.5,240.5
88,42.0,118.0,156.0,232.0
89,41.0,114.0,150.5,223.5
90,40.0,110.0,145.0,215.0
91,39.0,106.0,139.5,206.5
92,38.0,102.0,134.0,198.0
93,37.0,98.0,128.5,189.5
94,36.0,94.0,123.0,181.0
95,35.0,90.0,117.5,172.5
96,34.0,86.0,112.0,164.0
97,33.0,82.0,106.5,155.5
98,32.0,78.0,101.0,147.0
99,31.0,74.0,95.5,138.5
100,30.0,70.0,90.0,130.0
101,31.0,70.0,89.5,128.5
102,32.0,70.0,89.0,127.0
103,33.0,70.0,88.5,125.5
104,34.0,70.0,88.0,124.0
105,35.0,70.0,87.5,122.5
106,36.0,70.0,87.0,121.0
107,37.0,70.0,86.5,119.5
108,38.0,70.0,86.0,118.0
109,39.0,70.0,85.5,116.5
110,40.0,70.0,85.0,115.0
111,41.0,70.0,84.5,113.5
112,42.0,70.0,84.0,112.0
113,43.0,70.0,83.5,110.5
114,44.0,70.0,83.0,109.0
115,45.0,70.0,82.5,107.5
116,46.0,70.0,82.0,106.0
117,47.0,70.0,81.5,104.5
118,48.0,70.0,81.0,103.0
119,49.0,70.0,80.5,101.5
120,50.0,70.0,80.0,100.0
121,51.0,70.0,79.5,98.5
