secuencia,tardanza,makespan
A-B-C-D-E-F,46.0,30.0
A-B-C-D-F-E,44.0,28.0
A-B-C-E-D-F,37.0,26.0
A-B-C-E-F-D,38.0,26.0
A-B-C-F-D-E,45.0,28.0
A-B-C-F-E-D,48.0,30.0
A-B-D-C-E-F,32.0,26.0
A-B-D-C-F-E,38.0,28.0
A-B-D-E-C-F,29.0,26.0
A-B-D-E-F-C,32.0,28.0
A-B-D-F-C-E,30.0,24.0
A-B-D-F-E-C,27.0,24.0
A-B-E-C-D-F,37.0,26.0
A-B-E-C-F-D,38.0,26.0
A-B-E-D-C-F,43.0,30.0
A-B-E-D-F-C,38.0,28.0
A-B-E-F-C-D,45.0,30.0
A-B-E-F-D-C,39.0,28.0
A-B-F-C-D-E,44.0,28.0
A-B-F-C-E-D,39.0,26.0
A-B-F-D-C-E,34.0,24.0
A-B-F-D-E-C,31.0,24.0
A-B-F-E-C-D,36.0,26.0
A-B-F-E-D-C,38.0,28.0
A-C-B-D-E-F,33.0,26.0
A-C-B-D-F-E,31.0,24.0
A-C-B-E-D-F,36.0,26.0
A-C-B-E-F-D,37.0,26.0
A-C-B-F-D-E,32.0,24.0
A-C-B-F-E-D,35.0,26.0
A-C-D-B-E-F,34.0,26.0
A-C-D-B-F-E,32.0,24.0
A-C-D-E-B-F,38.0,26.0
A-C-D-E-F-B,40.0,26.0
A-C-D-F-B-E,34.0,24.0
A-C-D-F-E-B,38.0,26.0
A-C-E-B-D-F,28.0,22.0
A-C-E-B-F-D,29.0,22.0
A-C-E-D-B-F,29.0,22.0
A-C-E-D-F-B,31.0,22.0
A-C-E-F-B-D,31.0,22.0
A-C-E-F-D-B,32.0,22.0
A-C-F-B-D-E,35.0,24.0
A-C-F-B-E-D,38.0,26.0
A-C-F-D-B-E,36.0,24.0
A-C-F-D-E-B,40.0,26.0
A-C-F-E-B-D,42.0,26.0
A-C-F-E-D-B,43.0,26.0
A-D-B-C-E-F,33.0,26.0
A-D-B-C-F-E,39.0,28.0
A-D-B-E-C-F,30.0,26.0
A-D-B-E-F-C,33.0,28.0
A-D-B-F-C-E,31.0,24.0
A-D-B-F-E-C,28.0,24.0
A-D-C-B-E-F,48.0,30.0
A-D-C-B-F-E,46.0,28.0
A-D-C-E-B-F,40.0,26.0
A-D-C-E-F-B,42.0,26.0
A-D-C-F-B-E,48.0,28.0
A-D-C-F-E-B,52.0,30.0
A-D-E-B-C-F,44.0,30.0
A-D-E-B-F-C,39.0,28.0
A-D-E-C-B-F,39.0,26.0
A-D-E-C-F-B,41.0,26.0
A-D-E-F-B-C,41.0,28.0
A-D-E-F-C-B,48.0,30.0
A-D-F-B-C-E,35.0,24.0
A-D-F-B-E-C,32.0,24.0
A-D-F-C-B-E,46.0,28.0
A-D-F-C-E-B,42.0,26.0
A-D-F-E-B-C,40.0,28.0
A-D-F-E-C-B,39.0,26.0
A-E-B-C-D-F,39.0,26.0
A-E-B-C-F-D,40.0,26.0
A-E-B-D-C-F,33.0,26.0
A-E-B-D-F-C,28.0,24.0
A-E-B-F-C-D,37.0,26.0
A-E-B-F-D-C,31.0,24.0
A-E-C-B-D-F,30.0,22.0
A-E-C-B-F-D,31.0,22.0
A-E-C-D-B-F,31.0,22.0
A-E-C-D-F-B,33.0,22.0
A-E-C-F-B-D,33.0,22.0
A-E-C-F-D-B,34.0,22.0
A-E-D-B-C-F,34.0,26.0
A-E-D-B-F-C,29.0,24.0
A-E-D-C-B-F,41.0,26.0
A-E-D-C-F-B,43.0,26.0
A-E-D-F-B-C,32.0,24.0
A-E-D-F-C-B,39.0,26.0
A-E-F-B-C-D,41.0,26.0
A-E-F-B-D-C,35.0,24.0
A-E-F-C-B-D,48.0,26.0
A-E-F-C-D-B,49.0,26.0
A-E-F-D-B-C,36.0,24.0
A-E-F-D-C-B,43.0,26.0
A-F-B-C-D-E,48.0,28.0
A-F-B-C-E-D,43.0,26.0
A-F-B-D-C-E,38.0,24.0
A-F-B-D-E-C,35.0,24.0
A-F-B-E-C-D,40.0,26.0
A-F-B-E-D-C,42.0,28.0
A-F-C-B-D-E,55.0,28.0
A-F-C-B-E-D,58.0,30.0
A-F-C-D-B-E,56.0,28.0
A-F-C-D-E-B,60.0,30.0
A-F-C-E-B-D,50.0,26.0
A-F-C-E-D-B,51.0,26.0
A-F-D-B-C-E,39.0,24.0
A-F-D-B-E-C,36.0,24.0
A-F-D-C-B-E,50.0,28.0
