secuencia,tardanza,makespan
A-B-C-D-E-F,16.0,20.0
A-B-C-D-F-E,18.0,20.0
A-B-C-E-D-F,17.0,20.0
A-B-C-E-F-D,18.0,20.0
A-B-C-F-D-E,20.0,20.0
A-B-C-F-E-D,19.0,20.0
A-B-D-C-E-F,14.0,20.0
A-B-D-C-F-E,16.0,20.0
A-B-D-E-C-F,15.0,20.0
A-B-D-E-F-C,15.0,20.0
A-B-D-F-C-E,18.0,20.0
A-B-D-F-E-C,15.0,20.0
A-B-E-C-D-F,19.0,20.0
A-B-E-C-F-D,20.0,20.0
A-B-E-D-C-F,17.0,20.0
A-B-E-D-F-C,17.0,20.0
A-B-E-F-C-D,23.0,20.0
A-B-E-F-D-C,21.0,20.0
A-B-F-C-D-E,24.0,20.0
A-B-F-C-E-D,23.0,20.0
A-B-F-D-C-E,22.0,20.0
A-B-F-D-E-C,19.0,20.0
A-B-F-E-C-D,23.0,20.0
A-B-F-E-D-C,21.0,20.0
A-C-B-D-E-F,19.0,20.0
A-C-B-D-F-E,21.0,20.0
A-C-B-E-D-F,20.0,20.0
A-C-B-E-F-D,21.0,20.0
A-C-B-F-D-E,23.0,20.0
A-C-B-F-E-D,22.0,20.0
A-C-D-B-E-F,20.0,20.0
A-C-D-B-F-E,22.0,20.0
A-C-D-E-B-F,21.0,20.0
A-C-D-E-F-B,23.0,20.0
A-C-D-F-B-E,24.0,20.0
A-C-D-F-E-B,24.0,20.0
A-C-E-B-D-F,22.0,20.0
A-C-E-B-F-D,23.0,20.0
A-C-E-D-B-F,23.0,20.0
A-C-E-D-F-B,25.0,20.0
A-C-E-F-B-D,26.0,20.0
A-C-E-F-D-B,27.0,20.0
A-C-F-B-D-E,27.0,20.0
A-C-F-B-E-D,26.0,20.0
A-C-F-D-B-E,28.0,20.0
A-C-F-D-E-B,28.0,20.0
A-C-F-E-B-D,26.0,20.0
A-C-F-E-D-B,27.0,20.0
A-D-B-C-E-F,15.0,20.0
A-D-B-C-F-E,17.0,20.0
A-D-B-E-C-F,16.0,20.0
A-D-B-E-F-C,16.0,20.0
A-D-B-F-C-E,19.0,20.0
A-D-B-F-E-C,16.0,20.0
A-D-C-B-E-F,18.0,20.0
A-D-C-B-F-E,20.0,20.0
A-D-C-E-B-F,19.0,20.0
A-D-C-E-F-B,21.0,20.0
A-D-C-F-B-E,22.0,20.0
A-D-C-F-E-B,22.0,20.0
A-D-E-B-C-F,18.0,20.0
A-D-E-B-F-C,18.0,20.0
A-D-E-C-B-F,21.0,20.0
A-D-E-C-F-B,23.0,20.0
A-D-E-F-B-C,22.0,20.0
A-D-E-F-C-B,25.0,20.0
A-D-F-B-C-E,23.0,20.0
A-D-F-B-E-C,20.0,20.0
A-D-F-C-B-E,26.0,20.0
A-D-F-C-E-B,26.0,20.0
A-D-F-E-B-C,22.0,20.0
A-D-F-E-C-B,25.0,20.0
A-E-B-C-D-F,21.0,20.0
A-E-B-C-F-D,22.0,20.0
A-E-B-D-C-F,19.0,20.0
A-E-B-D-F-C,19.0,20.0
A-E-B-F-C-D,25.0,20.0
A-E-B-F-D-C,23.0,20.0
A-E-C-B-D-F,24.0,20.0
A-E-C-B-F-D,25.0,20.0
A-E-C-D-B-F,25.0,20.0
A-E-C-D-F-B,27.0,20.0
A-E-C-F-B-D,28.0,20.0
A-E-C-F-D-B,29.0,20.0
A-E-D-B-C-F,20.0,20.0
A-E-D-B-F-C,20.0,20.0
A-E-D-C-B-F,23.0,20.0
A-E-D-C-F-B,25.0,20.0
A-E-D-F-B-C,24.0,20.0
A-E-D-F-C-B,27.0,20.0
A-E-F-B-C-D,29.0,20.0
A-E-F-B-D-C,27.0,20.0
A-E-F-C-B-D,32.0,20.0
A-E-F-C-D-B,33.0,20.0
A-E-F-D-B-C,28.0,20.0
A-E-F-D-C-B,31.0,20.0
A-F-B-C-D-E,28.0,20.0
A-F-B-C-E-D,27.0,20.0
A-F-B-D-C-E,26.0,20.0
A-F-B-D-E-C,23.0,20.0
A-F-B-E-C-D,27.0,20.0
A-F-B-E-D-C,25.0,20.0
A-F-C-B-D-E,31.0,20.0
A-F-C-B-E-D,30.0,20.0
A-F-C-D-B-E,32.0,20.0
A-F-C-D-E-B,32.0,20.0
A-F-C-E-B-D,30.0,20.0
A-F-C-E-D-B,31.0,20.0
A-F-D-B-C-E,27.0,20.0
A-F-D-B-E-C,24.0,20.0
A-F-D-C-B-E,30.0,20.0
A-F-D-C-E-B,30.0,20.0
A-F-D-E-B-C,26.0,20.0
A-F-D-E-C-B,29.0,20.0
A-F-E-B-C-D,29.0,20.0
A-F-E-B-D-C,27.0,20.0
A-F-E-C-B-D,32.0,20.0
A-F-E-C-D-B,33.0,20.0
A-F-E-D-B-C,28.0,20.0
A-F-E-D-C-B,31.0,20.0
B-A-C-D-E-F,14.0,20.0
B-A-C-D-F-E,16.0,20.0
B-A-C-E-D-F,15.0,20.0
B-A-C-E-F-D,16.0,20.0
B-A-C-F-D-E,18.0,20.0
B-A-C-F-E-D,17.0,20.0
B-A-D-C-E-F,12.0,20.0
B-A-D-C-F-E,14.0,20.0
B-A-D-E-C-F,13.0,20.0
B-A-D-E-F-C,13.0,20.0
B-A-D-F-C-E,16.0,20.0
B-A-D-F-E-C,13.0,20.0
B-A-E-C-D-F,17.0,20.0
B-A-E-C-F-D,18.0,20.0
B-A-E-D-C-F,15.0,20.0
B-A-E-D-F-C,15.0,20.0
B-A-E-F-C-D,21.0,20.0
B-A-E-F-D-C,19.0,20.0
B-A-F-C-D-E,22.0,20.0
B-A-F-C-E-D,21.0,20.0
B-A-F-D-C-E,20.0,20.0
B-A-F-D-E-C,17.0,20.0
B-A-F-E-C-D,21.0,20.0
B-A-F-E-D-C,19.0,20.0
B-C-A-D-E-F,17.0,20.0
B-C-A-D-F-E,19.0,20.0
B-C-A-E-D-F,18.0,20.0
B-C-A-E-F-D,19.0,20.0
B-C-A-F-D-E,21.0,20.0
B-C-A-F-E-D,20.0,20.0
B-C-D-A-E-F,16.0,20.0
B-C-D-A-F-E,18.0,20.0
B-C-D-E-A-F,17.0,20.0
B-C-D-E-F-A,17.0,20.0
B-C-D-F-A-E,20.0,20.0
B-C-D-F-E-A,18.0,20.0
B-C-E-A-D-F,20.0,20.0
B-C-E-A-F-D,21.0,20.0
B-C-E-D-A-F,19.0,20.0
B-C-E-D-F-A,19.0,20.0
B-C-E-F-A-D,24.0,20.0
B-C-E-F-D-A,23.0,20.0
B-C-F-A-D-E,25.0,20.0
B-C-F-A-E-D,24.0,20.0
B-C-F-D-A-E,24.0,20.0
B-C-F-D-E-A,22.0,20.0
B-C-F-E-A-D,24.0,20.0
B-C-F-E-D-A,23.0,20.0
B-D-A-C-E-F,13.0,20.0
B-D-A-C-F-E,15.0,20.0
B-D-A-E-C-F,14.0,20.0
