secuencia,tiempo,tardanza,cumplimiento
"(1, 2, 3, 4)",29,10.0,0.5
"(1, 2, 4, 3)",29,7.0,0.75
"(1, 3, 2, 4)",26,3.0,0.75
"(1, 3, 4, 2)",26,0.0,1.0
"(1, 4, 2, 3)",28,6.0,0.75
"(1, 4, 3, 2)",28,0.0,1.0
"(2, 1, 3, 4)",32,25.0,0.25
"(2, 1, 4, 3)",34,23.0,0.25
"(2, 3, 1, 4)",31,28.0,0.25
"(2, 3, 4, 1)",28,32.0,0.25
"(2, 4, 1, 3)",31,20.0,0.5
"(2, 4, 3, 1)",26,26.0,0.5
"(3, 1, 2, 4)",32,17.0,0.5
"(3, 1, 4, 2)",31,11.0,0.25
"(3, 2, 1, 4)",34,29.0,0.5
"(3, 2, 4, 1)",28,27.0,0.5
"(3, 4, 1, 2)",34,18.0,0.5
"(3, 4, 2, 1)",29,22.0,0.5
"(4, 1, 2, 3)",34,16.0,0.5
"(4, 1, 3, 2)",31,8.0,0.25
"(4, 2, 1, 3)",32,22.0,0.5
"(4, 2, 3, 1)",26,26.0,0.5
"(4, 3, 1, 2)",32,15.0,0.25
"(4, 3, 2, 1)",29,23.0,0.25
