p,Pa_binomial,Pa_hipergeometrica
0.0,1.0,1.0
0.0025,0.9988882109233796,0.999418023536279
0.005,0.9922881683046688,0.9939635206484455
0.0075,0.9774053767470537,0.9801912608661099
0.01,0.9534468142640684,0.9569903014956725
0.0125,0.9208615274098263,0.9246980796810238
0.015,0.8808084172386941,0.8844821960288587
0.0175,0.8347917114344199,0.8379188295121028
0.02,0.784418886975356,0.7867140222166853
0.0225,0.7312468693937861,0.732527420274089
0.025,0.6766908743085003,0.6768683123039498
0.0275,0.6219768193090177,0.6210416482780298
0.03,0.5681232516410872,0.5661276864131214
0.0325,0.5159425514689625,0.5129834260802315
0.035,0.46605405165690006,0.46225737270690326
0.0375,0.41890387540821356,0.41441170620690976
0.04,0.37478789935680723,0.36974779054815027
0.0425,0.3338754321290876,0.3284323265707597
0.045,0.2962320585202333,0.2905224354958876
0.0475,0.2618407160720952,0.2559886612193405
0.05,0.23062050491649155,0.2247353680945861
0.0525,0.2024430301210189,0.1966183430256091
0.055,0.17714627430785224,0.17145962856361274
0.0575,0.15454612429603226,0.14905974927112323
0.06,0.13444574956595673,0.12920757085564252
0.0625,0.11664306792921579,0.11168806833061774
0.065,0.10093654640578877,0.09628828889612409
0.0675,0.08712958142359203,0.08280178694209372
0.07,0.07503368820706294,0.0710317894645905
0.0725,0.06447070900683143,0.06079332512880588
0.075,0.05527422672263051,0.05191452258343945
0.0775,0.04729034659055516,0.044237255692127775
0.08,0.04037798532866079,0.03761728655199184
0.0825,0.03440878532431553,0.03192403238968092
0.085,0.029266751591687283,0.02704006012415917
0.08750000000000001,0.02484769155538474,0.022860392743123445
0.09,0.02105852227525788,0.01929169464800506
0.0925,0.017816496448921033,0.01625138865244298
0.095,0.01504838727138789,0.013666745171268854
0.0975,0.01268966281304192,0.011473974075228825
0.1,0.010683672797443988,0.00961734146195307
