pieza,operador,1,2,R
1,A,483.97,485.36,1.3899999999999864
1,B,486.19,484.98,1.2099999999999795
1,C,483.08,482.87,0.20999999999997954
2,A,491.19,488.68,2.509999999999991
2,B,491.93,491.37,0.5600000000000023
2,C,490.35,489.7,0.6500000000000341
3,A,479.48,480.79,1.3100000000000023
3,B,480.73,479.83,0.9000000000000341
3,C,479.6,479.34,0.26000000000004775
4,A,481.46,480.98,0.47999999999996135
4,B,480.62,481.49,0.8700000000000045
4,C,481.45,481.02,0.4300000000000068
5,A,479.92,480.89,0.9699999999999704
5,B,481.31,481.81,0.5
5,C,481.36,481.63,0.2699999999999818
6,A,486.65,484.81,1.839999999999975
6,B,487.0,486.84,0.160000000000025
6,C,485.85,484.09,1.7600000000000477
7,A,483.47,482.31,1.160000000000025
7,B,483.41,483.97,0.5600000000000023
7,C,481.23,481.87,0.6399999999999864
8,A,484.14,483.51,0.6299999999999955
8,B,485.03,484.01,1.0199999999999818
8,C,482.41,482.36,0.05000000000001137
9,A,481.97,483.82,1.849999999999966
9,B,483.17,482.57,0.6000000000000227
9,C,481.49,479.86,1.6299999999999955
10,A,485.14,485.71,0.5699999999999932
10,B,489.39,487.17,2.2199999999999704
10,C,484.17,483.59,0.5800000000000409
