subgrupo,fase,xbar,R,s,fuera_x,fuera_r,anomalia_iforest
1,I,483.4375,16.620000000000005,7.950376825450879,False,False,True
2,I,487.09000000000003,6.340000000000032,3.002776492958941,False,False,False
3,I,485.865,6.139999999999986,2.6697627859668187,False,False,False
4,I,484.3275,11.95999999999998,5.706881080473512,False,False,False
5,I,483.7725,4.25,1.9870140915453998,False,False,False
6,I,485.015,2.3899999999999864,1.0478072341800095,False,False,False
7,I,481.08,3.640000000000043,1.563926681998479,False,False,True
8,I,488.98,8.609999999999957,3.7944081664118876,False,False,False
9,I,487.275,7.930000000000007,3.63485442166074,False,False,False
10,I,486.585,9.649999999999977,4.124435314884536,False,False,False
11,I,484.59749999999997,11.439999999999998,5.29447746870895,False,False,False
12,I,486.72,4.539999999999964,2.1004443974232117,False,False,False
13,I,489.045,10.350000000000023,4.46724747467611,False,False,False
14,I,488.0475,10.009999999999991,4.120771570147192,False,False,False
15,I,483.525,17.0,7.300394966484117,False,False,True
16,I,485.1425,5.640000000000043,2.3338005484616993,False,False,False
17,I,486.96500000000003,5.689999999999998,2.660607700006388,False,False,False
18,I,485.81,2.329999999999984,1.03101891350254,False,False,False
19,I,484.395,2.1999999999999886,1.036194962350227,False,False,False
20,I,488.205,3.7900000000000205,1.6556267695347358,False,False,False
21,II,487.3575,8.71999999999997,3.8888933730132726,False,False,False
22,II,482.34000000000003,6.650000000000034,2.9342915101718674,False,False,False
23,II,486.345,9.460000000000036,3.8836537779089992,False,False,False
24,II,483.695,1.9399999999999977,1.0331343894511924,False,False,False
25,II,483.705,5.930000000000007,2.6313811329160726,False,False,False
26,II,492.58000000000004,2.6100000000000136,1.1893135274883155,True,False,False
27,II,487.7925,5.850000000000023,2.458202256392564,False,False,False
28,II,493.65,6.410000000000025,2.9419607973821496,True,False,False
29,II,494.76,1.910000000000025,0.8650626181574196,True,False,True
30,II,494.5125,5.53000000000003,2.4548506403988766,True,False,True
