t,ninguna,global,rodante,acumulado,periodo
1,44894.29364333687,42144.77671052053,45039.06098186097,33376.0,33376.0
2,41587.06903914591,37781.61349226562,33798.713492265626,32039.010601363927,33376.0
3,39760.31255197563,41522.01995892747,36750.596875,34712.98939863606,33376.0
4,41363.85735156249,41471.27671052053,17915.961984206755,31998.399999999998,33376.0
5,38234.36649152292,34015.431164062495,42118.356923952306,34753.60000000003,33376.0
6,28960.85,31000.999999999996,35324.92177262177,33376.00000000001,33376.0
7,40922.95064120621,38175.876710520526,38145.09265255252,33376.99999999996,33376.0
8,32647.0125,42647.727836329825,17915.96198420674,30717.999999999996,33376.0
9,41285.800281249976,32808.81393503849,42005.18894547647,36033.99999999998,33376.0
10,35156.2875,37107.78834126763,32047.135609375007,33376.0000000001,33376.0
11,14904.4,21822.3,41536.04679427514,33375.99999999995,33376.0
12,11772.25,0.0,17912.41964393687,33252.450000000135,33376.0
