sku,t,demanda,produccion,inventario,setup
DUR-480,1,1213.0,2211.0,1258.0,1
DUR-480,2,1258.0,0.0,0.0,0
DUR-480,3,1667.0,1667.0,0.0,1
DUR-480,4,1239.0,1239.0,0.0,1
DUR-480,5,1389.0,2819.0,1430.0,1
DUR-480,6,1430.0,0.0,0.0,0
DUR-480,7,1468.0,2971.0,1503.0,1
DUR-480,8,1503.0,0.0,0.0,0
DUR-480,9,1534.0,3095.0,1561.0,1
DUR-480,10,1561.0,0.0,0.0,0
DUR-480,11,1583.0,3184.0,1601.0,1
DUR-480,12,1601.0,0.0,0.0,0
DUR-820,1,262.0,494.0,270.0,1
DUR-820,2,270.0,0.0,0.0,0
DUR-820,3,357.0,1528.0,1171.0,1
DUR-820,4,264.0,0.0,907.0,0
DUR-820,5,295.0,0.0,612.0,0
DUR-820,6,303.0,0.0,309.0,0
DUR-820,7,309.0,0.0,0.0,0
DUR-820,8,316.0,1622.0,1306.0,1
DUR-820,9,321.0,0.0,985.0,0
DUR-820,10,325.0,0.0,660.0,0
DUR-820,11,329.0,0.0,331.0,0
DUR-820,12,331.0,0.0,0.0,0
TOM-480,1,3569.0,2933.173741103208,224.17374110320816,1
TOM-480,2,3480.0,3280.6975088968225,24.871250000030734,1
TOM-480,3,4341.0,4527.753749999994,211.62500000002527,1
TOM-480,4,3040.0,2828.3749999999745,0.0,1
TOM-480,5,3220.0,3430.6406116320245,210.6406116320245,1
TOM-480,6,3138.0,3323.0,395.64061163202405,1
TOM-480,7,3062.0,2825.6522008679476,159.29281249997166,1
TOM-480,8,2993.0,6114.457187500028,3280.75,1
TOM-480,9,2930.0,0.0,350.75,0
TOM-480,10,2876.0,5356.25,2831.0,1
TOM-480,11,2831.0,0.0,0.0,0
TOM-480,12,2795.0,2795.0,0.0,1
TOM-3000,1,408.0,277.0,0.0,1
TOM-3000,2,398.0,894.0,496.0,1
TOM-3000,3,496.0,0.0,0.0,0
TOM-3000,4,347.0,347.0,0.0,1
TOM-3000,5,368.0,727.0,359.0,1
TOM-3000,6,359.0,0.0,0.0,0
TOM-3000,7,350.0,1027.0,677.0,1
TOM-3000,8,342.0,0.0,335.0,0
TOM-3000,9,335.0,0.0,0.0,0
TOM-3000,10,329.0,972.0,643.0,1
TOM-3000,11,324.0,0.0,319.0,0
TOM-3000,12,319.0,0.0,0.0,0
POR-480,1,1197.0,851.0,0.0,1
POR-480,2,1167.0,2618.0,1451.0,1
POR-480,3,1451.0,0.0,0.0,0
POR-480,4,1009.0,2067.0,1058.0,1
POR-480,5,1058.0,0.0,0.0,0
POR-480,6,1018.0,2927.0,1909.0,1
POR-480,7,976.0,0.0,933.0,0
POR-480,8,933.0,0.0,0.0,0
POR-480,9,891.0,3317.0,2426.0,1
POR-480,10,849.0,0.0,1577.0,0
POR-480,11,808.0,0.0,769.0,0
POR-480,12,769.0,0.0,0.0,0
POR-3000,1,126.0,361.0,276.0,1
POR-3000,2,123.0,0.0,153.0,0
POR-3000,3,153.0,0.0,0.0,0
POR-3000,4,107.0,527.0,420.0,1
POR-3000,5,112.0,0.0,308.0,0
POR-3000,6,107.0,0.0,201.0,0
POR-3000,7,103.0,0.0,98.0,0
POR-3000,8,98.0,0.0,0.0,0
POR-3000,9,94.0,350.0,256.0,1
POR-3000,10,90.0,0.0,166.0,0
POR-3000,11,85.0,0.0,81.0,0
POR-3000,12,81.0,0.0,0.0,0
