t,demanda_cajas,AUT_%,L1_%,L2_%,PREP_%
1,6775.0,93.82907083333333,91.2811288888889,73.77982307692308,85.97413043478261
2,6696.0,92.66268749999999,90.22013333333334,73.00125769230769,95.25970731707318
3,8465.0,117.04024791666667,112.50104,88.0808423076923,107.24217391304349
4,6006.0,82.97185,81.37372444444445,66.87634615384616,76.02582608695653
5,6442.0,88.91992708333333,86.80774222222223,70.53546153846153,81.47595652173912
6,6355.0,105.16725249999999,85.64638222222221,69.66948461538462,80.30260869565218
7,6268.0,86.37021458333334,97.49926153846154,68.80147307692306,79.13969565217391
8,6185.0,85.15244166666668,83.39535111111111,67.9781846153846,78.0238695652174
9,6105.0,83.99355625,82.33435555555556,67.24027307692307,76.962
10,6030.0,90.448125,81.34504888888888,66.54505,75.96986956521737
11,5960.0,81.89467291666666,80.42743111111113,65.84982692307693,75.03882608695652
12,5896.0,97.1639425,96.82318918918918,94.10926666666667,89.81078947368422
