t,granel_cocido_kg,granel_en_bodega_kg,cajas_envasadas,h_PREP,h_extra
1,82396.53575380435,4235.082390008589,7268.528449933261,40.193432075026514,0.0
2,84050.0,0.0,7128.0123461154635,41.0,0.0
3,88185.82332561351,0.0,6995.3305218477935,43.0174747929822,0.0
4,88583.76986196057,0.0,7631.989309468943,43.21159505461491,0.0
5,88168.796,0.0,6894.1875,43.009168780487805,0.0
6,73296.25,0.0,6250.0,35.75426829268293,0.0
7,87829.13372729706,0.0,7189.40475379071,42.84347986697418,0.0
8,87895.3342,0.0,6929.0,42.8757727804878,0.0
9,88991.26956236405,0.0,7672.304387732676,43.41037539627514,0.0
10,71018.76195646045,0.0,6034.93023111115,34.64329851534657,0.0
11,87955.45181249999,0.0,7066.312500000001,42.90509844512194,0.0
12,0.0,0.0,0.0,0.0,0.0
