t,cores_global,partes_global,producto_global,reensamblado_global,nuevos_global
1,1399.7684909672962,350.0,0.0,0.0,1780.0
2,0.0,350.0,0.0,0.0,2664.0
3,0.0,0.0,0.0,2336.206896551724,520.7931034482758
4,0.0,0.0,0.0,0.0,2928.0
5,0.0,0.0,0.0,0.0,2857.0
6,876.4733235493765,0.0,0.0,0.0,2664.0
7,3021.473323549377,0.0,0.0,0.0,2400.0
8,0.0,0.0,0.0,0.0,2136.0
9,273.1915039397059,2336.206896551724,393.2068965517242,2336.206896551724,0.0
10,1357.1915039397054,0.0,857.4137931034484,2336.206896551724,0.0
11,0.0,0.0,0.0,0.0,1085.5862068965516
12,0.0,0.0,0.0,2136.0,0.0
