t,demanda,retornos,rho,aceptados,desensambla,recupera,reensambla,nuevos,inv_cores,inv_partes,inv_producto,setups
1,2400.0,1186.0,0.6695,0.0,0.0,0.0,0.0,1780.0,900.0,350.0,0.0,0
2,2664.0,1201.0,0.7637,0.0,0.0,0.0,0.0,2664.0,900.0,350.0,0.0,0
3,2857.0,1764.0,0.7131,0.0,0.0,0.0,0.0,2857.0,900.0,350.0,0.0,0
4,2928.0,1809.0,0.7697,0.0,0.0,0.0,0.0,2928.0,900.0,350.0,0.0,0
5,2857.0,1712.0,0.7218,0.0,0.0,0.0,0.0,2857.0,900.0,350.0,0.0,0
6,2664.0,1769.0,0.8174,0.0,0.0,0.0,0.0,2664.0,900.0,350.0,0.0,0
7,2400.0,2145.0,0.6885,0.0,0.0,0.0,0.0,2400.0,900.0,350.0,0.0,0
8,2136.0,2117.0,0.9093,1284.3251914128723,2184.3251914128723,0.0,0.0,2136.0,0.0,350.0,0.0,1
9,1943.0,1632.0,0.8093,0.0,0.0,2336.206896551724,2336.206896551724,0.0,0.0,0.0,393.2068965517242,110
10,1872.0,1084.0,0.8382,0.0,0.0,0.0,0.0,1478.7931034482758,0.0,0.0,0.0,0
11,1943.0,1082.0,0.8757,0.0,0.0,0.0,0.0,1943.0,0.0,0.0,0.0,0
12,2136.0,1090.0,0.7326,0.0,0.0,0.0,0.0,2136.0,0.0,0.0,0.0,0
