orden,lote,desde,setup_h,inicio_setup,inicio_proceso,fin
1,J01-TOM-480,INICIO,0.0,0.0,0.0,6.5
2,J07-TOM-480,J01-TOM-480,0.3,6.5,6.8,8.3
3,J04-TOM-3000,J07-TOM-480,0.8,8.3,9.100000000000001,17.1
4,J10-TOM-3000,J04-TOM-3000,0.3,17.1,17.400000000000002,21.400000000000002
5,J06-POR-3000,J10-TOM-3000,1.5,21.400000000000002,22.900000000000002,28.400000000000002
6,J03-POR-480,J06-POR-3000,0.8,28.400000000000002,29.200000000000003,33.7
7,J09-POR-480,J03-POR-480,0.3,33.7,34.0,36.0
8,J02-DUR-480,J09-POR-480,2.0,36.0,38.0,41.0
9,J08-DUR-480,J02-DUR-480,0.3,41.0,41.3,48.3
10,J05-DUR-820,J08-DUR-480,0.8,48.3,49.099999999999994,51.599999999999994
