lote,etapa,k,inicio,fin
F4,AUTOCLAVE,2,6.0,12.0
F6,AUTOCLAVE,2,12.0,15.5
F2,AUTOCLAVE,2,15.5,19.5
F1,AUTOCLAVE,2,19.5,22.5
F3,AUTOCLAVE,2,22.5,25.0
F7,AUTOCLAVE,2,25.0,30.0
F8,AUTOCLAVE,2,30.0,32.0
F5,AUTOCLAVE,2,32.0,33.5
F4,ENVASADO,1,1.0,6.0
F6,ENVASADO,1,6.0,12.0
F2,ENVASADO,1,13.5,15.0
F1,ENVASADO,1,15.0,19.5
F3,ENVASADO,1,19.5,22.5
F7,ENVASADO,1,22.5,25.0
F8,ENVASADO,1,26.5,30.0
F5,ENVASADO,1,30.0,32.0
F4,PREP,0,0.0,1.0
F6,PREP,0,3.0,5.5
F2,PREP,0,5.5,11.0
F1,PREP,0,11.0,13.0
F3,PREP,0,13.0,16.5
F7,PREP,0,16.5,22.5
F8,PREP,0,22.5,25.5
F5,PREP,0,25.5,30.0
