trabajo,k,maquina,inicio,fin,p_h
T4,1,M1,0.0,2.0,2.0
T1,1,M1,2.0,5.0,3.0
T3,3,M1,6.5,8.5,2.0
T2,2,M1,8.5,12.5,4.0
T6,4,M1,12.5,16.0,3.5
T5,4,M1,16.0,17.0,1.0
T6,1,M2,0.0,4.5,4.5
T2,1,M2,4.5,7.0,2.5
T4,3,M2,7.0,8.5,1.5
T1,2,M2,8.5,10.5,2.0
T5,2,M2,10.5,14.0,3.5
T3,4,M2,14.0,17.0,3.0
T3,1,M3,0.0,1.5,1.5
T4,2,M3,2.0,5.0,3.0
T6,2,M3,5.0,6.0,1.0
T1,3,M3,10.5,13.0,2.5
T5,3,M3,14.0,16.0,2.0
T2,4,M3,16.0,17.0,1.0
T5,1,M4,0.0,2.5,2.5
T3,2,M4,2.5,6.0,3.5
T6,3,M4,6.0,8.5,2.5
T4,4,M4,8.5,12.5,4.0
T2,3,M4,12.5,14.5,2.0
T1,4,M4,15.5,17.0,1.5
