maquina,orden,lote,familia,formato_g,p_h,inicio,fin
A1,1,P04,TOM,3000,7.1,0.0,7.1
A1,2,P09,POR,480,5.1,7.1,12.2
A1,3,P10,TOM,820,4.2,12.2,16.4
A1,4,P11,DUR,480,3.5,16.4,19.9
A1,5,P03,POR,480,2.4,19.9,22.299999999999997
A2,1,P02,DUR,480,5.8,0.0,5.8
A2,2,P14,DUR,820,4.9,5.8,10.7
A2,3,P05,DUR,820,4.6,10.7,15.299999999999999
A2,4,P06,POR,3000,3.9,15.299999999999999,19.2
A2,5,P01,TOM,480,3.2,19.2,22.4
A3,1,P12,POR,480,8.43,0.0,8.43
A3,2,P07,TOM,480,7.81,8.43,16.24
A3,3,P08,DUR,480,3.47,16.24,19.709999999999997
A3,4,P13,TOM,480,2.6,19.709999999999997,22.31
