actividad,nombre,inicio,fin,duracion_h,mecanicos,grua,holgura_h
A01,Bloqueo y descarga de lineas,0,4,4,3,0,0.0
A02,Vaciado y lavado de marmitas,4,12,8,4,0,0.0
A03,Desmontaje de valvulas del autoclave,4,10,6,2,1,0.0
A04,Inspeccion de recipiente a presion,10,20,10,2,0,0.0
A05,Cambio de empaquetaduras,21,26,5,2,0,11.0
A06,Reparacion de camisa de vapor,21,33,12,3,1,9.0
A07,Calibracion de instrumentos,30,36,6,1,0,10.0
A08,Cambio de cabezal llenadora L1,12,21,9,3,1,8.0
A09,Ajuste de capsuladora L2,26,33,7,2,0,22.0
A10,Cambio de cinta transportadora,36,44,8,2,1,23.0
A11,Mantencion de caldera,33,47,14,4,0,9.0
A12,Sanitizacion general,53,59,6,5,0,15.0
A13,Pruebas hidraulicas,44,49,5,2,1,9.0
A14,Montaje de valvulas,49,53,4,2,1,9.0
A15,Marcha blanca de linea 1,59,65,6,3,0,15.0
A16,Marcha blanca de linea 2,61,67,6,3,0,15.0
A17,Validacion sanitaria,67,75,8,2,0,15.0
A18,Entrega a operaciones,75,77,2,2,0,15.0
