K,tecnico,nodo,viaje_h,llegada,espera_h,inicio,fin
2,T1,C3,0.6766,0.6766,0.0,0.6766,1.9766
2,T1,C1,0.3885,2.3651,0.0,2.3651,3.9651
2,T1,C5,0.5055,4.4706,0.0,4.4706,5.9706
2,T1,C7,1.0644,7.035,0.0,7.035,9.035
2,T1,D,0.5693,9.6043,0.0,9.6043,9.6043
2,T2,C8,0.3255,0.3255,0.1745,0.5,1.9
2,T2,C6,0.856,2.756,0.0,2.756,3.856
2,T2,C2,0.3,4.156,0.0,4.156,6.256
2,T2,C4,0.517,6.773000000000001,0.0,6.773000000000001,8.573
2,T2,D,0.3912,8.9642,0.0,8.9642,8.9642
3,T1,C3,0.6766,0.6766,0.0,0.6766,1.9766
3,T1,C1,0.3885,2.3651,0.0,2.3651,3.9651
3,T1,C5,0.5055,4.4706,0.0,4.4706,5.9706
3,T1,D,0.6001,6.5707,0.0,6.5707,6.5707
3,T2,C6,0.6007,0.6007,0.3993,1.0,2.1
3,T2,C2,0.3,2.4,0.0,2.4,4.5
3,T2,C4,0.517,5.017,0.0,5.017,6.817
3,T2,D,0.3912,7.2082,0.0,7.2082,7.2082
3,T3,C8,0.3255,0.3255,0.1745,0.5,1.9
3,T3,C7,0.2846,2.1846,2.8154,5.0,7.0
3,T3,D,0.5693,7.5693,0.0,7.5693,7.5693
